Stars,Title,docking score,glide emodel,glide gscore,Formula
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,,,
B1,ZINC64683340,-7.239,-76.814,-7.239,
B2,ZINC64683508,-7.102,-68.931,-7.102,
B3,ZINC64683689,-7.024,-69.995,-7.024,
B4,ZINC64683419,-6.279,-63.163,-6.279,
B5,ZINC83014547,-6.145,-66.745,-6.145,
B6,ZINC19352272,-5.853,-51.812,-5.853,
B7,ZINC81998540,-5.718,-60.546,-5.718,
B8,ZINC64683482,-5.635,-60.866,-5.635,
B9,ZINC81095757,-5.591,-54.359,-5.591,
10,ZINC35397440,-5.521,-51.978,-5.521,
,ZINC35397440,-5.521,-51.978,-5.521,
,ZINC77636578,-5.392,-62.821,-5.392,
,ZINC08909273,-5.366,-65.634,-5.366,
,ZINC84621801,-5.358,-49.616,-5.358,
,ZINC84621801,-5.358,-49.616,-5.358,
,ZINC16926164,-5.318,-52.692,-5.318,
,ZINC89255190,-5.292,-58.098,-5.292,
,ZINC16940396,-5.279,-56.936,-5.334,
,ZINC95101078,-5.249,-74.701,-5.366,
,ZINC95101078,-5.249,-74.701,-5.366,
,ZINC89229689,-5.234,-47.281,-5.384,
,ZINC95101078,-5.195,-69.421,-5.311,
,ZINC95101078,-5.195,-69.421,-5.311,
,ZINC16926074,-5.167,-51.461,-5.167,
,ZINC16924857,-5.164,-65.99,-5.882,
,ZINC16924857,-5.164,-65.99,-5.882,
,ZINC94622317,-5.097,-43.427,-5.138,
,ZINC95101078,-5.013,-75.296,-5.129,
,ZINC95101078,-5.013,-75.296,-5.129,
,ZINC12805727,-5.006,-58.652,-5.081,
,ZINC12805727,-5.006,-58.652,-5.081,
,ZINC16926211,-4.974,-65.527,-5.696,
,ZINC92942175,-4.954,-44.992,-4.985,
,ZINC16922842,-4.952,-50.962,-4.952,
,ZINC09833656,-4.944,-62.492,-4.944,
,ZINC16926052,-4.931,-61.104,-5.652,
,ZINC16926052,-4.931,-61.104,-5.652,
,ZINC58009125,-4.912,-52.962,-5.008,
,ZINC58009125,-4.912,-52.962,-5.008,
,ZINC92942175,-4.901,-41.473,-4.932,
,ZINC13001874,-4.896,-57.115,-4.97,
,ZINC13001874,-4.896,-57.115,-4.97,
,ZINC13001874,-4.896,-57.115,-4.97,
,ZINC13001874,-4.896,-57.115,-4.97,
,ZINC16926052,-4.892,-59.401,-5.106,
,ZINC16926052,-4.892,-59.401,-5.106,
,ZINC95101078,-4.889,-69.729,-5.006,
,ZINC95101078,-4.889,-69.729,-5.006,
,ZINC16923832,-4.888,-53.308,-4.888,
,ZINC35397435,-4.878,-48.423,-4.878,
,ZINC35397435,-4.878,-48.423,-4.878,
,ZINC35397435,-4.878,-48.423,-4.878,
