Stars,Title,PUBCHEM_CONFORMER_RMSD,docking score,glide emodel,glide gscore
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,,,
D1,ZINC15685828,,-6.904,-62.095,-6.904
D2,ZINC21079507,,-6.542,-64.599,-6.553
,ZINC21079507,,-6.542,-64.599,-6.553
D3,ZINC04566919,,-6.475,-52.934,-6.475
D4,ZINC20906616,,-6.468,-62.131,-6.53
D5,ZINC49949931,,-6.149,-53.85,-6.155
D6,ZINC21078115,,-5.997,-58.817,-6.007
D7,ZINC40658127,,-5.99,-62.923,-6.03
,ZINC40658127,,-5.99,-62.923,-6.03
D8,ZINC57639051,,-5.951,-68.048,-5.951
D9,ZINC38890642,,-5.939,-69.841,-6.049
D10,ZINC78193210,,-5.871,-55.745,-5.874
,ZINC04566896,,-5.801,-40.578,-5.801
,ZINC04566896,,-5.801,-40.578,-5.801
,ZINC21075699,,-5.751,-58.907,-5.817
,ZINC21039261,,-5.736,-58.356,-5.747
,ZINC49984028,,-5.709,-58.801,-5.714
,ZINC71999249,,-5.698,-64.66,-5.723
,ZINC21037124,,-5.684,-61.247,-5.695
,ZINC42047162,,-5.683,-62.188,-5.688
,ZINC59311336,,-5.658,-63.856,-5.672
,ZINC57639048,,-5.646,-62.586,-5.646
,ZINC94355544,,-5.634,-43.975,-5.759
,ZINC39040689,,-5.615,-49.599,-5.623
,ZINC13063007,,-5.609,-57.588,-5.609
,ZINC34861484,,-5.608,-47.167,-5.608
,ZINC34861484,,-5.608,-47.167,-5.608
,ZINC40013027,,-5.561,-50.355,-5.561
,ZINC08092201,,-5.557,-42.596,-5.557
,ZINC64044427,,-5.548,-51.746,-5.548
,ZINC58047083,,-5.545,-55.622,-5.929
,ZINC77347285,,-5.525,-47.909,-5.525
,ZINC76202338,,-5.519,-52.604,-5.575
,ZINC46869011,,-5.516,-46.076,-5.516
,ZINC21077482,,-5.503,-55.395,-5.559
,ZINC34936031,,-5.464,-44.363,-5.536
,ZINC16498762,,-5.433,-49.661,-5.433
,ZINC00719891,,-5.427,-52.654,-5.445
,ZINC00719891,,-5.427,-52.654,-5.445
,ZINC21083947,,-5.401,-59.943,-5.412
,ZINC92959327,,-5.383,-42.651,-5.385
,ZINC20424286,,-5.375,-64.529,-5.914
,ZINC12502211,,-5.366,-50.369,-5.397
,ZINC20909749,,-5.356,-54.923,-5.368
,ZINC21037565,,-5.34,-52.148,-5.351
,ZINC21027549,,-5.336,-57.79,-5.338
,ZINC95396560,,-5.319,-41.149,-5.321
,ZINC43761435,,-5.317,-46.126,-5.317
,ZINC21082486,,-5.311,-59.709,-5.85
,ZINC20425058,,-5.279,-61.378,-5.662
,ZINC63436566,,-5.275,-42.091,-5.275
,ZINC63436566,,-5.275,-42.091,-5.275
,ZINC34705771,,-5.269,-65.484,-5.269
,ZINC34705771,,-5.269,-65.484,-5.269
,ZINC34705771,,-5.269,-65.484,-5.269
,ZINC34705771,,-5.269,-65.484,-5.269
,ZINC94357284,,-5.266,-48.466,-5.348
,ZINC28817800,,-5.265,-54.007,-5.269
,ZINC28817800,,-5.265,-54.007,-5.269
,ZINC28817800,,-5.265,-54.007,-5.269
,ZINC28817800,,-5.265,-54.007,-5.269
,ZINC28817800,,-5.265,-54.007,-5.269
,ZINC16494579,,-5.265,-45.572,-5.265
,ZINC94355772,,-5.264,-42.773,-5.264
,ZINC94355772,,-5.264,-42.773,-5.264
,ZINC16496399,,-5.26,-50.13,-5.264
,ZINC16496399,,-5.26,-50.13,-5.264
,ZINC16496399,,-5.26,-50.13,-5.264
,ZINC16496399,,-5.26,-50.13,-5.264
,ZINC91788529,,-5.24,-45.852,-5.24
,ZINC47184417,,-5.239,-50.77,-5.239
,ZINC74610391,,-5.234,-51.397,-5.234
,ZINC12502118,,-5.234,-64.19,-5.234
,ZINC12502118,,-5.234,-64.19,-5.234
