Stars,Title,docking score,glide emodel,glide gscore
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,,
,ZINC93351388,-7.503,-66.398,-7.503
,ZINC89494959,-7.482,-59.863,-7.482
,ZINC93351387,-7.051,-57.995,-7.051
,ZINC39253070,-7.016,-98.292,-7.016
,ZINC63427065,-7.002,-71.215,-7.002
,ZINC63386584,-6.947,-61.668,-6.947
,ZINC63386584,-6.947,-61.668,-6.947
,ZINC93350932,-6.738,-57.138,-6.738
,ZINC63427064,-6.554,-65.631,-6.554
,ZINC63427064,-6.554,-65.631,-6.554
,ZINC09477093,-6.529,-56.708,-6.529
,ZINC63427063,-6.524,-63.83,-6.524
,ZINC63427066,-6.505,-68.992,-6.505
,ZINC39960846,-6.461,-67.651,-6.461
,ZINC39960846,-6.461,-67.651,-6.461
,ZINC39960846,-6.461,-67.651,-6.461
,ZINC39960847,-6.3,-64.791,-6.3
,ZINC39960847,-6.3,-64.791,-6.3
,ZINC39960847,-6.3,-64.791,-6.3
,ZINC39960847,-6.3,-64.791,-6.3
,ZINC39960847,-6.3,-64.791,-6.3
,ZINC39960847,-6.3,-64.791,-6.3
,ZINC93352280,-6.188,-62.642,-6.188
,ZINC93352280,-6.188,-62.642,-6.188
,ZINC39159641,-6.062,-64.13,-6.062
,ZINC94957539,-6.025,-41.982,-6.025
,ZINC21036708,-6.022,-68.552,-6.022
,ZINC21036708,-6.022,-68.552,-6.022
,ZINC63427000,-5.991,-60.593,-5.991
,ZINC12804605,-5.931,-52.833,-5.931
,ZINC09407950,-5.93,-65.333,-5.93
,ZINC09407950,-5.93,-65.333,-5.93
,ZINC09407950,-5.93,-65.333,-5.93
,ZINC63427001,-5.925,-61.227,-5.925
,ZINC92118867,-5.925,-53.404,-5.925
,ZINC93353187,-5.876,-55.283,-5.876
,ZINC93353187,-5.876,-55.283,-5.876
,ZINC78304419,-5.868,-37.738,-5.868
,ZINC09346554,-5.858,-69.066,-5.858
,ZINC09346554,-5.858,-69.066,-5.858
,ZINC09346554,-5.858,-69.066,-5.858
,ZINC73011732,-5.835,-58.29,-5.835
,ZINC91030727,-5.802,-48.007,-5.802
,ZINC21083943,-5.787,-56.736,-5.787
,ZINC05271196,-5.776,-64.719,-5.776
,ZINC05271196,-5.776,-64.719,-5.776
,ZINC89400135,-5.755,-46.415,-5.755
,ZINC09407951,-5.734,-65.484,-5.734
,ZINC09407951,-5.734,-65.484,-5.734
,ZINC09407951,-5.734,-65.484,-5.734
,ZINC93351260,-5.716,-48.752,-5.716
,ZINC91375925,-5.706,-48.992,-5.706
,ZINC91375925,-5.706,-48.992,-5.706
,ZINC91340997,-5.667,-52.011,-5.667
,ZINC91340997,-5.667,-52.011,-5.667
,ZINC21932084,-5.646,-57.738,-5.646
,ZINC21932084,-5.646,-57.738,-5.646
,ZINC21036530,-5.63,-62.597,-5.63
,ZINC21036530,-5.63,-62.597,-5.63
,ZINC69819288,-5.62,-56.77,-5.62
,ZINC69819288,-5.62,-56.77,-5.62
,ZINC63993460,-5.617,-49.412,-5.617
,ZINC63993460,-5.617,-49.412,-5.617
,ZINC63993460,-5.617,-49.412,-5.617
,ZINC93351951,-5.613,-50.847,-5.613
,ZINC09407958,-5.601,-65.035,-5.601
,ZINC09407958,-5.601,-65.035,-5.601
,ZINC09407958,-5.601,-65.035,-5.601
,ZINC82971044,-5.598,-48.451,-5.598
,ZINC89343977,-5.582,-51.749,-5.582
,ZINC91372316,-5.569,-54.506,-5.569
,ZINC17164705,-5.528,-47.163,-5.528
,ZINC17164705,-5.528,-47.163,-5.528
,ZINC17164705,-5.528,-47.163,-5.528
,ZINC17164705,-5.528,-47.163,-5.528
,ZINC63970224,-5.526,-52.717,-5.526
,ZINC91405055,-5.525,-55.129,-5.525
,ZINC91405055,-5.525,-55.129,-5.525
,ZINC91030729,-5.525,-41.279,-5.525
,ZINC91335943,-5.524,-63.489,-5.524
,ZINC91335943,-5.524,-63.489,-5.524
,ZINC04338232,-5.512,-60.752,-5.512
,ZINC04338232,-5.512,-60.752,-5.512
,ZINC04338232,-5.512,-60.752,-5.512
,ZINC89343976,-5.509,-51.225,-5.509
,ZINC89343976,-5.509,-51.225,-5.509
,ZINC91344441,-5.5,-55.905,-5.5
,ZINC91345600,-5.499,-49.828,-5.499
,ZINC72436581,-5.489,-50.896,-5.489
,ZINC91349621,-5.475,-52.461,-5.475
,ZINC91349621,-5.475,-52.461,-5.475
,ZINC92392453,-5.468,-52.564,-5.468
,ZINC13638918,-5.458,-53.608,-5.458
,ZINC13638918,-5.458,-53.608,-5.458
,ZINC13638918,-5.458,-53.608,-5.458
,ZINC91405357,-5.458,-54.467,-5.458
,ZINC91338143,-5.457,-51.948,-5.457
,ZINC12794219,-5.449,-51.143,-5.449
,ZINC91251472,-5.442,-54.592,-5.442
,ZINC91251472,-5.442,-54.592,-5.442
,ZINC80700166,-5.439,-37.924,-5.439
,ZINC80700166,-5.439,-37.924,-5.439
,ZINC91335846,-5.433,-58.572,-5.433
,ZINC95429313,-5.43,-48.868,-5.43
,ZINC21932079,-5.423,-56.054,-5.423
,ZINC21932079,-5.423,-56.054,-5.423
,ZINC63427003,-5.42,-61.672,-5.42
,ZINC91030726,-5.419,-46.585,-5.419
,ZINC21083947,-5.412,-59.943,-5.412
,ZINC87360557,-5.397,-39.05,-5.397
,ZINC39159642,-5.396,-64.324,-5.396
,ZINC12805047,-5.393,-52.478,-5.393
,ZINC91372218,-5.391,-54.296,-5.391
,ZINC91372218,-5.391,-54.296,-5.391
,ZINC91372218,-5.391,-54.296,-5.391
,ZINC91372218,-5.391,-54.296,-5.391
,ZINC72436582,-5.388,-47.666,-5.388
,ZINC91374995,-5.385,-55.18,-5.385
,ZINC91374995,-5.385,-55.18,-5.385
,ZINC21036684,-5.383,-53.68,-5.383
,ZINC21036684,-5.383,-53.68,-5.383
,ZINC78688619,-5.378,-39.326,-5.378
,ZINC91346472,-5.364,-54.444,-5.364
,ZINC81252369,-5.362,-50.561,-5.362
,ZINC91374702,-5.36,-46.35,-5.36
,ZINC91374701,-5.351,-49.251,-5.351
,ZINC77228910,-5.345,-39.519,-5.345
,ZINC93352241,-5.343,-50.024,-5.343
,ZINC59850066,-5.342,-53.771,-5.342
,ZINC59850066,-5.342,-53.771,-5.342
,ZINC19566537,-5.337,-63.255,-5.337
,ZINC19566537,-5.337,-63.255,-5.337
,ZINC91369246,-5.33,-55.864,-5.33
,ZINC93351596,-5.329,-48.137,-5.329
,ZINC19566543,-5.324,-65.541,-5.324
,ZINC19566543,-5.324,-65.541,-5.324
,ZINC91374615,-5.323,-54.222,-5.323
,ZINC72149728,-5.318,-49.376,-5.318
,ZINC72149728,-5.318,-49.376,-5.318
,ZINC93352075,-5.317,-55.214,-5.317
,ZINC72459041,-5.313,-50.617,-5.313
,ZINC19566533,-5.312,-63.183,-5.312
,ZINC19566533,-5.312,-63.183,-5.312
,ZINC72153140,-5.304,-54.306,-5.304
,ZINC02106090,-5.304,-38.022,-5.304
,ZINC75117052,-5.303,-48.02,-5.303
,ZINC91335947,-5.295,-64.281,-5.295
,ZINC91335947,-5.295,-64.281,-5.295
,ZINC35602327,-5.294,-47.817,-5.294
,ZINC89510494,-5.293,-57.068,-5.293
,ZINC89510494,-5.293,-57.068,-5.293
,ZINC69423161,-5.29,-53.642,-5.29
,ZINC91341001,-5.287,-50.413,-5.287
,ZINC91349619,-5.286,-52.744,-5.286
,ZINC63295361,-5.285,-59.852,-5.285
,ZINC91441312,-5.28,-47.704,-5.28
,ZINC91441312,-5.28,-47.704,-5.28
,ZINC91338283,-5.272,-50.778,-5.272
,ZINC91338283,-5.272,-50.778,-5.272
,ZINC91338283,-5.272,-50.778,-5.272
,ZINC91345993,-5.271,-49.513,-5.271
,ZINC91345993,-5.271,-49.513,-5.271
,ZINC91405058,-5.27,-53.678,-5.27
,ZINC91333770,-5.268,-52.206,-5.268
,ZINC91333770,-5.268,-52.206,-5.268
,ZINC91333770,-5.268,-52.206,-5.268
,ZINC91343941,-5.268,-48.489,-5.268
,ZINC95427632,-5.264,-47.737,-5.264
,ZINC91333853,-5.256,-55.065,-5.256
,ZINC63493929,-5.247,-51.752,-5.247
,ZINC63493929,-5.247,-51.752,-5.247
,ZINC89510494,-5.239,-56.319,-5.239
,ZINC89510494,-5.239,-56.319,-5.239
,ZINC63279801,-5.233,-49.996,-5.233
,ZINC91316206,-5.221,-55.956,-5.221
,ZINC82968354,-5.221,-49.128,-5.221
,ZINC91409109,-5.219,-49.772,-5.219
,ZINC91409109,-5.219,-49.772,-5.219
,ZINC91409109,-5.219,-49.772,-5.219
,ZINC91409109,-5.219,-49.772,-5.219
,ZINC91409109,-5.219,-49.772,-5.219
,ZINC72459041,-5.217,-49.833,-5.217
,ZINC81705016,-5.215,-53.565,-5.215
,ZINC91248677,-5.213,-46.647,-5.213
,ZINC91345814,-5.211,-50.218,-5.211
,ZINC72419924,-5.21,-56.279,-5.21
