Stars,Title,PUBCHEM_PHARMACOPHORE_FEATURES,docking score,glide emodel,glide gscore,Formula
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,,,,
,ZINC77273272,,-6.972,-115.33,-8.452,
,ZINC77273272,,-6.972,-115.33,-8.452,
,ZINC77273272,,-6.972,-115.33,-8.452,
,ZINC77273272,,-6.972,-115.33,-8.452,
,ZINC77273272,,-6.972,-115.33,-8.452,
,ZINC77273272,,-6.972,-115.33,-8.452,
,ZINC77273272,,-6.972,-115.33,-8.452,
C1,ZINC77273272,,-6.972,-115.33,-8.452,
C2,ZINC77273286,,-6.948,-107.595,-7.205,
,ZINC77273286,,-6.948,-107.595,-7.205,
C3,ZINC72399348,,-6.757,-101.898,-6.846,
,ZINC72399348,,-6.757,-101.898,-6.846,
,ZINC72399348,,-6.757,-101.898,-6.846,
,ZINC72399348,,-6.757,-101.898,-6.846,
C4,ZINC77291612,,-6.584,-98.983,-6.673,
C5,ZINC77291604,,-6.551,-120.852,-6.64,
,ZINC77291604,,-6.551,-120.852,-6.64,
C6,ZINC77270907,,-6.45,-105.202,-6.839,
,ZINC77270907,,-6.45,-105.202,-6.839,
,ZINC77270907,,-6.45,-105.202,-6.839,
,ZINC77270907,,-6.45,-105.202,-6.839,
,ZINC77270907,,-6.45,-105.202,-6.839,
,ZINC77270907,,-6.45,-105.202,-6.839,
C7,ZINC72399347,,-6.436,-87.62,-6.525,
,ZINC72399347,,-6.436,-87.62,-6.525,
C8,ZINC92125137,,-6.344,-51.229,-6.539,
,ZINC92125137,,-6.344,-51.229,-6.539,
,ZINC77286907,,-6.324,-70.966,-6.509,
C9,ZINC77291590,,-6.259,-103.625,-6.331,
,ZINC77291590,,-6.259,-103.625,-6.331,
,ZINC77291590,,-6.259,-103.625,-6.331,
,ZINC77291590,,-6.259,-103.625,-6.331,
,ZINC77291590,,-6.259,-103.625,-6.331,
,ZINC77291590,,-6.259,-103.625,-6.331,
,ZINC77291590,,-6.259,-103.625,-6.331,
C10,ZINC77270907,,-6.24,-98.485,-6.904,
,ZINC77270907,,-6.24,-98.485,-6.904,
,ZINC77270907,,-6.24,-98.485,-6.904,
