Group,Label,ZINC_ID,SMILES
groupA,ZINC93351388,ZINC93351388,O=C(NC[C@@H](O)c1ccncc1)Nc1ccc2[nH]c(C(F)F)nc2c1
groupA,ZINC89494959,ZINC89494959,O=C(CC1(O)CCCCC1)NNc1ncnc2[nH]cnc12
groupA,ZINC93351387,ZINC93351387,O=C(NC[C@H](O)c1ccncc1)Nc1ccc2[nH]c(C(F)F)nc2c1
groupA,ZINC39253070,ZINC39253070,Cc1ccc2c(c1)=N[C@@H](SCC(=O)Nc1cccc(NC(=O)CSc3nc4ccc(C)cc4[nH]3)n1)N=2
groupA,ZINC63427065,ZINC63427065,CCc1nc2ccc(Cc3ccc4c(c3)=N[C@@H](CC)N=4)cc2[nH]1
groupA,ZINC63386584,ZINC63386584,COc1ccc2c(c1)=C(CCNc1nc(Cl)nc3[nH]cnc13)CN=2
groupA,ZINC93350932,ZINC93350932,COc1ccc(O)c(CNC(=O)Nc2ccc3[nH]c(C(F)F)nc3c2)c1
groupA,ZINC63427064,ZINC63427064,Cc1nc2ccc(Cc3ccc4c(c3)=N[C@H](C)N=4)cc2[nH]1
groupA,ZINC09477093,ZINC09477093,O=C(CCNc1nc(Cl)nc2[nH]cnc12)NCCO
groupA,ZINC63427063,ZINC63427063,Cc1nc2ccc(Cc3ccc4c(c3)=N[C@@H](C)N=4)cc2[nH]1
groupB,B1,ZINC64683340,O=C(CNC(=O)N[C@H](CC1=c2ccccc2=NC1)C(=O)O)Nc1cccc2nsnc12
groupB,B2,ZINC64683508,O=C(CNC(=O)N[C@H](CC1=c2ccccc2=NC1)C(=O)O)Nc1ccccc1F
groupB,B3,ZINC64683689,CN(Cc1ccccc1)C(=O)CNC(=O)N[C@H](CC1=c2ccccc2=NC1)C(=O)O
groupB,B4,ZINC64683419,Cc1cccc(NC(=O)CNC(=O)N[C@H](CC2=c3ccccc3=NC2)C(=O)O)c1
groupB,B5,ZINC83014547,COc1cc(Cl)c(C)cc1NC(=O)CCNC(=O)c1ccc[n+]([O-])c1
groupB,B6,ZINC19352272,O=C(CSc1cccc[n+]1[O-])N[C@@H]1CCOc2ccccc21
groupB,B7,ZINC81998540,COc1ccc(Cl)cc1NC(=O)CCNC(=O)c1ccc[n+]([O-])c1
groupB,B8,ZINC64683482,O=C(CNC(=O)N[C@H](CC1=c2ccccc2=NC1)C(=O)O)Nc1ccccc1
groupB,B9,ZINC81095757,COc1ccccc1O[C@@H](C)CNC(=O)c1ccc[n+]([O-])c1
groupB,ZINC35397440,ZINC35397440,O=C(O)c1cc(NS(=O)(=O)c2cc(F)ccc2F)cnc1N1CCCCCC1
groupC,C1,ZINC77273272,N[C@H]1[C@H](O)[C@H](CO)O[C@H](O[C@@H]2[C@H](N)C[C@@H](N)[C@@H](O[C@H]3O[C@@H](CNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)[C@@H](O)C[C@H]3N)[C@H]2O)[C@@H]1O
groupC,C2,ZINC77273286,N[C@H]1[C@H](O)[C@H](CO)O[C@H](O[C@H]2[C@H](N)C[C@@H](N)[C@@H](O[C@H]3O[C@@H](CNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)[C@@H](O)C[C@H]3N)[C@H]2O)[C@@H]1O
groupC,C3,ZINC72399348,NCC[C@H](O)C(=O)N[C@@H]1C[C@@H](N)[C@@H](O[C@H]2O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]1O
groupC,C4,ZINC77291612,NCC[C@H](O)C(=O)NC[C@@H]1O[C@H](O[C@H]2[C@@H](N)C[C@@H](NC(=O)[C@@H](O)CCN)[C@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@H](O)[C@@H]1O
groupC,C5,ZINC77291604,NCC[C@H](O)C(=O)NC[C@@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](NC(=O)[C@@H](O)CCN)[C@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O
groupC,C6,ZINC77270907,NCC[C@H](O)C(=O)N[C@@H]1C[C@@H](N)[C@@H](O[C@H]2O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]1O
groupC,C7,ZINC72399347,NCC[C@H](O)C(=O)N[C@@H]1C[C@@H](N)[C@@H](O[C@H]2O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]1O
groupC,C8,ZINC92125137,Nc1ccnc(CNC(=O)c2c(O)cccc2O)n1
groupC,ZINC77286907,ZINC77286907,N[C@H]1C[C@@H](N)[C@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]2O)[C@H](O)[C@H]1O
groupC,C9,ZINC77291590,NCC[C@H](O)C(=O)N[C@H]1C[C@@H](NC(=O)[C@@H](O)CCN)[C@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@@H](CN)[C@@H](O)[C@@H](O)[C@H]1O
groupD,D1,ZINC15685828,COC1=CC(=CNNc2ccc([N+](=O)[O-])cn2)C=C(OC)C1=O
groupD,D2,ZINC21079507,C/C(=N\Nc1nc(SCc2nc3ccc([N+](=O)[O-])cc3[nH]2)n[nH]1)c1ccc2c(c1)OCO2
groupD,D3,ZINC04566919,CC(=O)c1ccc(/C=C\C(=O)c2cc[n+]([O-])cc2)cc1
groupD,D4,ZINC20906616,O=[N+]([O-])c1ccc2nc(CSc3n[nH]c(N/N=C/c4cccc(O)c4)n3)[nH]c2c1
groupD,D5,ZINC49949931,O=C(NNC(=O)[C@@H]1COc2ccccc2O1)c1cc[n+]([O-])cc1
groupD,D6,ZINC21078115,O=[N+]([O-])c1ccc2nc(CSc3n[nH]c(N/N=C/c4ccc(O)cc4)n3)[nH]c2c1
groupD,D7,ZINC40658127,O=C(NNc1ncnc(Nc2cccc3ncccc23)c1[N+](=O)[O-])c1ccc([N+](=O)[O-])cc1
groupD,D8,ZINC57639051,C[C@@H](NC(=O)c1cccc([N+](=O)[O-])c1)C(=O)N(C)Cc1ccc2c(c1)OCO2
groupD,D9,ZINC38890642,O=S(=O)(O)c1ccc(/N=N/C(=N/NC2N=NN=N2)c2ccccc2)c(S(=O)(=O)O)c1
groupD,D10,ZINC78193210,O=C(COCc1ccccc1)NNC(=O)c1cc[n+]([O-])cc1
