Group_Label,ZINC_ID,SMILES
ZINC93351388,ZINC93351388,O=C(NC[C@@H](O)c1ccncc1)Nc1ccc2[nH]c(C(F)F)nc2c1
ZINC89494959,ZINC89494959,O=C(CC1(O)CCCCC1)NNc1ncnc2[nH]cnc12
ZINC93351387,ZINC93351387,O=C(NC[C@H](O)c1ccncc1)Nc1ccc2[nH]c(C(F)F)nc2c1
ZINC39253070,ZINC39253070,Cc1ccc2c(c1)=N[C@@H](SCC(=O)Nc1cccc(NC(=O)CSc3nc4ccc(C)cc4[nH]3)n1)N=2
ZINC63427065,ZINC63427065,CCc1nc2ccc(Cc3ccc4c(c3)=N[C@@H](CC)N=4)cc2[nH]1
ZINC63386584,ZINC63386584,COc1ccc2c(c1)=C(CCNc1nc(Cl)nc3[nH]cnc13)CN=2
ZINC93350932,ZINC93350932,COc1ccc(O)c(CNC(=O)Nc2ccc3[nH]c(C(F)F)nc3c2)c1
ZINC63427064,ZINC63427064,Cc1nc2ccc(Cc3ccc4c(c3)=N[C@H](C)N=4)cc2[nH]1
ZINC09477093,ZINC09477093,O=C(CCNc1nc(Cl)nc2[nH]cnc12)NCCO
ZINC63427063,ZINC63427063,Cc1nc2ccc(Cc3ccc4c(c3)=N[C@@H](C)N=4)cc2[nH]1
