Group_Label,ZINC_ID,SMILES
B1,ZINC64683340,O=C(CNC(=O)N[C@H](CC1=c2ccccc2=NC1)C(=O)O)Nc1cccc2nsnc12
B2,ZINC64683508,O=C(CNC(=O)N[C@H](CC1=c2ccccc2=NC1)C(=O)O)Nc1ccccc1F
B3,ZINC64683689,CN(Cc1ccccc1)C(=O)CNC(=O)N[C@H](CC1=c2ccccc2=NC1)C(=O)O
B4,ZINC64683419,Cc1cccc(NC(=O)CNC(=O)N[C@H](CC2=c3ccccc3=NC2)C(=O)O)c1
B5,ZINC83014547,COc1cc(Cl)c(C)cc1NC(=O)CCNC(=O)c1ccc[n+]([O-])c1
B6,ZINC19352272,O=C(CSc1cccc[n+]1[O-])N[C@@H]1CCOc2ccccc21
B7,ZINC81998540,COc1ccc(Cl)cc1NC(=O)CCNC(=O)c1ccc[n+]([O-])c1
B8,ZINC64683482,O=C(CNC(=O)N[C@H](CC1=c2ccccc2=NC1)C(=O)O)Nc1ccccc1
B9,ZINC81095757,COc1ccccc1O[C@@H](C)CNC(=O)c1ccc[n+]([O-])c1
ZINC35397440,ZINC35397440,O=C(O)c1cc(NS(=O)(=O)c2cc(F)ccc2F)cnc1N1CCCCCC1
