Group_Label,ZINC_ID,SMILES
C1,ZINC77273272,N[C@H]1[C@H](O)[C@H](CO)O[C@H](O[C@@H]2[C@H](N)C[C@@H](N)[C@@H](O[C@H]3O[C@@H](CNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)[C@@H](O)C[C@H]3N)[C@H]2O)[C@@H]1O
C2,ZINC77273286,N[C@H]1[C@H](O)[C@H](CO)O[C@H](O[C@H]2[C@H](N)C[C@@H](N)[C@@H](O[C@H]3O[C@@H](CNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)[C@@H](O)C[C@H]3N)[C@H]2O)[C@@H]1O
C3,ZINC72399348,NCC[C@H](O)C(=O)N[C@@H]1C[C@@H](N)[C@@H](O[C@H]2O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]1O
C4,ZINC77291612,NCC[C@H](O)C(=O)NC[C@@H]1O[C@H](O[C@H]2[C@@H](N)C[C@@H](NC(=O)[C@@H](O)CCN)[C@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@H](O)[C@@H]1O
C5,ZINC77291604,NCC[C@H](O)C(=O)NC[C@@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](NC(=O)[C@@H](O)CCN)[C@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O
C6,ZINC77270907,NCC[C@H](O)C(=O)N[C@@H]1C[C@@H](N)[C@@H](O[C@H]2O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]1O
C7,ZINC72399347,NCC[C@H](O)C(=O)N[C@@H]1C[C@@H](N)[C@@H](O[C@H]2O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]1O
C8,ZINC92125137,Nc1ccnc(CNC(=O)c2c(O)cccc2O)n1
ZINC77286907,ZINC77286907,N[C@H]1C[C@@H](N)[C@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]2O)[C@H](O)[C@H]1O
C9,ZINC77291590,NCC[C@H](O)C(=O)N[C@H]1C[C@@H](NC(=O)[C@@H](O)CCN)[C@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@H](N)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@@H](CN)[C@@H](O)[C@@H](O)[C@H]1O
