Group_Label,ZINC_ID,SMILES
D1,ZINC15685828,COC1=CC(=CNNc2ccc([N+](=O)[O-])cn2)C=C(OC)C1=O
D2,ZINC21079507,C/C(=N\Nc1nc(SCc2nc3ccc([N+](=O)[O-])cc3[nH]2)n[nH]1)c1ccc2c(c1)OCO2
D3,ZINC04566919,CC(=O)c1ccc(/C=C\C(=O)c2cc[n+]([O-])cc2)cc1
D4,ZINC20906616,O=[N+]([O-])c1ccc2nc(CSc3n[nH]c(N/N=C/c4cccc(O)c4)n3)[nH]c2c1
D5,ZINC49949931,O=C(NNC(=O)[C@@H]1COc2ccccc2O1)c1cc[n+]([O-])cc1
D6,ZINC21078115,O=[N+]([O-])c1ccc2nc(CSc3n[nH]c(N/N=C/c4ccc(O)cc4)n3)[nH]c2c1
D7,ZINC40658127,O=C(NNc1ncnc(Nc2cccc3ncccc23)c1[N+](=O)[O-])c1ccc([N+](=O)[O-])cc1
D8,ZINC57639051,C[C@@H](NC(=O)c1cccc([N+](=O)[O-])c1)C(=O)N(C)Cc1ccc2c(c1)OCO2
D9,ZINC38890642,O=S(=O)(O)c1ccc(/N=N/C(=N/NC2N=NN=N2)c2ccccc2)c(S(=O)(=O)O)c1
D10,ZINC78193210,O=C(COCc1ccccc1)NNC(=O)c1cc[n+]([O-])cc1
