Stars,Title,MMGBSA dG Bind,Lig Strain Energy
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,
,ZINC64683340,-42.76,7.734552
,ZINC64683508,-31.49,16.586127
,ZINC64683689,-40.93,7.217562
,ZINC64683419,-24.3,14.267049
,ZINC83014547,-46.39,6.203434
,ZINC19352272,-14.83,9.48969
,ZINC81998540,-44.93,5.548673
,ZINC64683482,-29.39,14.193725
,ZINC81095757,-23.43,7.623782
,ZINC35397440,-25.38,2.499308
,ZINC35397440,-25.38,2.499308
,ZINC77636578,-40.56,11.470186
,ZINC08909273,-47.15,8.110014
,ZINC84621801,-21.99,2.380788
,ZINC84621801,-21.99,2.380788
,ZINC16926164,-30.71,5.872441
,ZINC89255190,-43.83,7.295681
,ZINC16940396,-34.82,8.119045
,ZINC95101078,-3.37,24.394834
,ZINC95101078,-3.37,24.394834
,ZINC89229689,-41.52,4.078236
,ZINC95101078,9.8,25.560989
,ZINC95101078,9.8,25.560989
,ZINC16926074,-32.46,1.730667
,ZINC16924857,-48.14,3.081348
,ZINC16924857,-48.14,3.081348
,ZINC94622317,-25.83,3.252614
,ZINC95101078,-24.84,17.485692
,ZINC95101078,-24.84,17.485692
,ZINC12805727,-36.22,12.526392
,ZINC12805727,-36.22,12.526392
,ZINC16926211,-41.59,7.150124
,ZINC92942175,-22.5,1.496293
,ZINC16922842,-23.76,4.923897
,ZINC09833656,-46.57,2.925759
,ZINC16926052,-47.15,4.893069
,ZINC16926052,-47.15,4.893069
,ZINC58009125,-30.42,5.127592
,ZINC58009125,-30.42,5.127592
,ZINC92942175,-17.16,2.419117
,ZINC13001874,-36.64,13.320931
,ZINC13001874,-36.64,13.320931
,ZINC13001874,-36.64,13.320931
,ZINC13001874,-36.64,13.320931
,ZINC16926052,-24.81,5.810656
,ZINC16926052,-24.81,5.810656
,ZINC95101078,-26.77,12.460904
,ZINC95101078,-26.77,12.460904
,ZINC16923832,-24.83,5.700982
,ZINC35397435,-26.98,2.563525
,ZINC35397435,-26.98,2.563525
,ZINC35397435,-26.98,2.563525
,ZINC35397435,-26.98,2.563525
,ZINC35397420,-27.39,2.471322
,ZINC35397420,-27.39,2.471322
,ZINC16923437,-36.65,8.092994
,ZINC33943584,-27.7,5.000206
,ZINC15275997,-27.28,8.21599
,ZINC16925065,-23.95,5.044229
,ZINC04733090,-47.05,5.471679
,ZINC12857667,-33.99,11.281249
,ZINC12857667,-33.99,11.281249
,ZINC16101435,-18.67,1.823306
,ZINC08995797,-30.98,12.623084
,ZINC08995797,-30.98,12.623084
,ZINC64683451,-13.22,15.778247
,ZINC12574796,-22.9,9.897194
,ZINC16924111,-40.69,7.101213
,ZINC94622317,-17.34,4.71689
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC65739906,-22.21,11.114068
,ZINC89725913,-30.21,6.391801
,ZINC34800286,-26.57,4.134816
,ZINC34800286,-26.57,4.134816
,ZINC20436303,-29.72,4.263097
,ZINC21125142,-40.12,4.220806
,ZINC16923277,-44.36,2.478952
,ZINC16923277,-44.36,2.478952
,ZINC38142442,-33.21,1.854824
,ZINC38142442,-33.21,1.854824
,ZINC16924300,-39.71,8.174406
,ZINC16925936,-24.53,3.784233
,ZINC16925936,-24.53,3.784233
,ZINC74763435,-39.01,7.18759
,ZINC40163784,-23.73,7.378332
,ZINC40163784,-23.73,7.378332
,ZINC35024383,-17.86,4.130217
,ZINC35024383,-17.86,4.130217
,ZINC11616102,-30.51,1.727317
,ZINC11616102,-30.51,1.727317
,ZINC16925182,-36.91,7.333531
,ZINC16923948,-39.05,8.300655
,ZINC16923948,-39.05,8.300655
,ZINC16925513,-37.47,8.005207
,ZINC26544247,-33.39,3.488458
,ZINC35807671,-18.8,9.813765
,ZINC35807671,-18.8,9.813765
,ZINC16926118,-25.06,2.130725
,ZINC16925086,-17.96,5.977155
,ZINC16925350,-37.38,8.175556
,ZINC86167325,-45.49,2.420049
,ZINC16923318,-23.98,5.340704
,ZINC64580573,-39.09,4.99431
,ZINC64580573,-39.09,4.99431
,ZINC16924857,-26.61,4.676101
,ZINC16924857,-26.61,4.676101
,ZINC93966867,-49.6,3.068625
,ZINC16925024,-37.24,7.744441
,ZINC12997875,-26.71,18.364799
,ZINC12997875,-26.71,18.364799
,ZINC12997875,-26.71,18.364799
,ZINC12997875,-26.71,18.364799
,ZINC03927198,-18.7,10.843084
,ZINC03927198,-18.7,10.843084
,ZINC03927198,-18.7,10.843084
,ZINC03927198,-18.7,10.843084
,ZINC20709066,-33.53,3.946591
,ZINC07169137,-44.5,10.637526
,ZINC16923177,-28.56,8.359719
,ZINC12771140,-39.59,6.194872
,ZINC12771140,-39.59,6.194872
,ZINC12771140,-39.59,6.194872
,ZINC13733992,-32.73,3.628917
,ZINC33253617,-35.77,7.127913
,ZINC33253617,-35.77,7.127913
,ZINC34781667,-16.49,15.677276
