Stars,Title,MMGBSA dG Bind,Lig Strain Energy
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,
,ZINC93351388,-40.32,9.466994
,ZINC93351388,-40.32,9.466994
,ZINC89494959,-35.05,6.392133
,ZINC93351387,-37.71,7.157758
,ZINC39253070,-32.35,19.427246
,ZINC63427065,-39.86,2.470861
,ZINC63386584,-41.19,5.926537
,ZINC63386584,-41.19,5.926537
,ZINC93350932,-46.05,3.325139
,ZINC63427064,-35.81,2.079549
,ZINC63427064,-35.81,2.079549
,ZINC09477093,-38.52,4.234055
,ZINC63427063,-32,2.66586
,ZINC63427066,-24.67,1.691309
,ZINC39960846,-30.73,2.598314
,ZINC39960846,-30.73,2.598314
,ZINC39960846,-30.73,2.598314
,ZINC39960847,-34.76,3.172704
,ZINC39960847,-34.76,3.172704
,ZINC39960847,-34.76,3.172704
,ZINC39960847,-34.76,3.172704
,ZINC39960847,-34.76,3.172704
,ZINC39960847,-34.76,3.172704
,ZINC93352280,-32.82,6.528431
,ZINC93352280,-32.82,6.528431
,ZINC39159641,-31.78,1.402244
,ZINC94957539,-26.22,6.987832
,ZINC21036708,-60.94,4.195391
,ZINC21036708,-60.94,4.195391
,ZINC63427000,-29.71,2.575995
,ZINC12804605,-33.65,8.821799
,ZINC09407950,-59.65,4.114349
,ZINC09407950,-59.65,4.114349
,ZINC09407950,-59.65,4.114349
,ZINC63427001,-34.06,1.191129
,ZINC92118867,-30.69,5.148524
,ZINC93353187,-34.73,4.089755
,ZINC93353187,-34.73,4.089755
,ZINC78304419,-12.92,6.490418
,ZINC09346554,-64.58,4.33547
,ZINC09346554,-64.58,4.33547
,ZINC09346554,-64.58,4.33547
,ZINC73011732,-42.16,7.297841
,ZINC91030727,-35.27,5.456033
,ZINC21083943,-29.7,9.785877
,ZINC05271196,-57.93,4.543555
,ZINC05271196,-57.93,4.543555
,ZINC89400135,-31.09,8.562654
,ZINC09407951,-59.1,3.009068
,ZINC09407951,-59.1,3.009068
,ZINC09407951,-59.1,3.009068
,ZINC93351260,-28.09,6.028123
,ZINC91375925,-31.11,5.831045
,ZINC91375925,-31.11,5.831045
,ZINC91340997,-32.07,4.256809
,ZINC91340997,-32.07,4.256809
,ZINC21932084,-46.43,5.453332
,ZINC21932084,-46.43,5.453332
,ZINC21036530,-55.91,3.593912
,ZINC21036530,-55.91,3.593912
,ZINC69819288,-41.01,4.410015
,ZINC69819288,-41.01,4.410015
,ZINC63993460,-33.74,3.93669
,ZINC63993460,-33.74,3.93669
,ZINC63993460,-33.74,3.93669
,ZINC93351951,-35.61,4.941825
,ZINC09407958,-59.75,3.468311
,ZINC09407958,-59.75,3.468311
,ZINC09407958,-59.75,3.468311
,ZINC82971044,-29.37,3.096321
,ZINC89343977,-28.94,18.473463
,ZINC91372316,-37.81,4.310239
,ZINC17164705,-29.14,12.693868
,ZINC17164705,-29.14,12.693868
,ZINC17164705,-29.14,12.693868
,ZINC17164705,-29.14,12.693868
,ZINC63970224,-27.49,4.20363
,ZINC91405055,-37.68,3.655441
,ZINC91405055,-37.68,3.655441
,ZINC91030729,-32.02,5.228752
,ZINC91335943,-35.78,5.119408
,ZINC91335943,-35.78,5.119408
,ZINC04338232,-54.55,3.575425
,ZINC04338232,-54.55,3.575425
,ZINC04338232,-54.55,3.575425
,ZINC89343976,-31.71,17.947457
,ZINC89343976,-31.71,17.947457
,ZINC91344441,-30.11,5.473443
,ZINC91345600,-33.75,2.886872
,ZINC72436581,-34.63,1.934416
,ZINC91349621,-34.33,3.708733
,ZINC91349621,-34.33,3.708733
,ZINC92392453,-33.74,2.112119
,ZINC13638918,-33.08,8.918079
,ZINC13638918,-33.08,8.918079
,ZINC13638918,-33.08,8.918079
,ZINC91405357,-37.3,3.317498
,ZINC91338143,-31.24,5.293073
,ZINC12794219,-33.31,2.383229
,ZINC91251472,-31.76,5.856519
,ZINC91251472,-31.76,5.856519
,ZINC80700166,-1.27,12.600436
,ZINC80700166,-1.27,12.600436
,ZINC91335846,-40.53,3.493983
,ZINC95429313,-30.63,2.527496
,ZINC21932079,-48.62,4.446691
,ZINC21932079,-48.62,4.446691
,ZINC63427003,-25.05,2.591851
,ZINC91030726,-28.84,8.241386
,ZINC21083947,-45.85,5.889972
,ZINC87360557,-25.41,2.673781
,ZINC39159642,-18.41,1.042671
,ZINC12805047,-42.73,-3.348107
,ZINC91372218,-38.24,8.045272
,ZINC91372218,-38.24,8.045272
,ZINC91372218,-38.24,8.045272
,ZINC91372218,-38.24,8.045272
,ZINC72436582,-21.45,2.270166
,ZINC91374995,-37.09,1.751473
,ZINC91374995,-37.09,1.751473
,ZINC21036684,-48.05,4.9145
,ZINC21036684,-48.05,4.9145
,ZINC78688619,-18.74,9.90272
,ZINC91346472,-30.69,5.045958
,ZINC81252369,-31.55,3.892182
