Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,O=C(Nc1ccc2c(c1)nc([nH]2)C(F)F)NC[C@H](c1ccncc1)O,C16H15F2N5O2,347.32,25,15,0.19,7,6,4,86.92,102.93,1.67,0.92,2.75,1.06,2.16,1.71,-2.55,9.68e-01,2.79e-03,Soluble,-2.67,7.47e-01,2.15e-03,Soluble,-5.56,9.65e-04,2.78e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.77,0,0,0,0,0,0.55,0,0,0,2.91
Molecule 2,O=C(CC1(O)CCCCC1)NNc1ncnc2c1nc[nH]2,C13H18N6O2,290.32,21,9,0.54,5,5,4,76.73,115.82,1.09,1.36,0.69,0.44,0.70,0.86,-2.48,9.53e-01,3.28e-03,Soluble,-3.39,1.17e-01,4.03e-04,Soluble,-3.70,5.83e-02,2.01e-04,Soluble,High,No,Yes,No,No,No,No,No,-7.11,0,0,0,0,0,0.55,0,0,0,2.93
Molecule 3,O=C(Nc1ccc2c(c1)nc([nH]2)C(F)F)NC[C@@H](c1ccncc1)O,C16H15F2N5O2,347.32,25,15,0.19,7,6,4,86.92,102.93,1.32,0.92,2.75,1.06,2.16,1.64,-2.55,9.68e-01,2.79e-03,Soluble,-2.67,7.47e-01,2.15e-03,Soluble,-5.56,9.65e-04,2.78e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.77,0,0,0,0,0,0.55,0,0,0,2.91
Molecule 4,O=C(Nc1cccc(n1)NC(=O)CSc1[nH]c2c(n1)ccc(c2)C)CS[C@H]1N=c2c(=N1)cc(cc2)C,C25H23N7O2S2,517.63,36,21,0.20,10,6,3,149.38,175.09,2.35,3.09,2.07,1.92,5.32,2.95,-4.77,8.84e-03,1.71e-05,Moderately soluble,-6.43,1.90e-04,3.68e-07,Poorly soluble,-9.32,2.49e-07,4.81e-10,Poorly soluble,Low,No,Yes,Yes,Yes,Yes,Yes,Yes,-7.26,1,2,1,1,1,0.55,0,0,2,4.52
Molecule 5,CC[C@H]1N=c2c(=N1)cc(cc2)Cc1ccc2c(c1)[nH]c(n2)CC,C19H20N4,304.39,23,15,0.32,4,3,1,98.70,53.40,2.81,3.02,1.94,2.96,6.20,3.38,-3.85,4.32e-02,1.42e-04,Soluble,-3.81,4.75e-02,1.56e-04,Soluble,-7.54,8.74e-06,2.87e-08,Poorly soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.01,0,0,0,0,0,0.55,0,0,0,3.72
Molecule 6,COc1cc2=C(CCNc3nc(Cl)nc4c3nc[nH]4)CN=c2cc1,C16H15ClN6O,342.78,24,15,0.25,5,5,2,95.01,88.08,2.49,1.91,0.73,1.25,3.84,2.05,-3.30,1.71e-01,5.00e-04,Soluble,-3.38,1.42e-01,4.14e-04,Soluble,-6.84,4.98e-05,1.45e-07,Poorly soluble,High,No,No,Yes,No,No,Yes,Yes,-7.03,0,0,0,0,0,0.55,0,0,0,3.43
Molecule 7,COc1ccc(c(c1)CNC(=O)Nc1ccc2c(c1)nc([nH]2)C(F)F)O,C17H16F2N4O3,362.33,26,15,0.18,7,6,4,91.67,99.27,1.67,2.81,3.71,1.57,2.69,2.49,-3.82,5.46e-02,1.51e-04,Soluble,-4.55,1.02e-02,2.81e-05,Moderately soluble,-6.00,3.65e-04,1.01e-06,Moderately soluble,High,No,Yes,Yes,No,No,Yes,Yes,-6.52,0,0,0,0,0,0.55,1,0,1,2.45
Molecule 8,C[C@@H]1N=c2c(=N1)cc(cc2)Cc1ccc2c(c1)[nH]c(n2)C,C17H16N4,276.34,21,15,0.24,2,3,1,89.09,53.40,2.23,2.06,1.30,2.49,5.45,2.71,-3.25,1.56e-01,5.65e-04,Soluble,-2.81,4.28e-01,1.55e-03,Soluble,-6.74,4.98e-05,1.80e-07,Poorly soluble,High,Yes,No,No,No,No,No,Yes,-6.52,0,0,0,0,0,0.55,0,0,0,3.50
Molecule 9,OCCNC(=O)CCNc1nc(Cl)nc2c1nc[nH]2,C10H13ClN6O2,284.70,19,9,0.40,7,5,4,69.39,115.82,1.50,0.50,-0.27,-0.65,0.82,0.38,-1.81,4.42e+00,1.55e-02,Very soluble,-2.50,8.96e-01,3.15e-03,Soluble,-3.88,3.80e-02,1.33e-04,Soluble,High,No,Yes,No,No,No,No,No,-7.68,0,0,0,0,0,0.55,0,0,0,2.39
Molecule 10,C[C@H]1N=c2c(=N1)cc(cc2)Cc1ccc2c(c1)[nH]c(n2)C,C17H16N4,276.34,21,15,0.24,2,3,1,89.09,53.40,2.27,2.06,1.30,2.49,5.45,2.71,-3.25,1.56e-01,5.65e-04,Soluble,-2.81,4.28e-01,1.55e-03,Soluble,-6.74,4.98e-05,1.80e-07,Poorly soluble,High,Yes,No,No,No,No,No,Yes,-6.52,0,0,0,0,0,0.55,0,0,0,3.50
