Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Group,Molecule_ID,Drug_Score
Molecule 1,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)Nc1cccc2c1nsn2,C20H18N6O4S,438.46,31,15,0.2,10,7,4,116.63,173.91,2.17,0.61,-0.32,0.08,2.67,1.04,-2.64,1.0,0.00229,Soluble,-3.84,0.0639,0.000146,Soluble,-5.87,0.000591,1.35e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-8.54,0,0,1,1,1,0.11,0,0,2,4.16,B,1,75.1598
Molecule 2,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)Nc1ccccc1F,C20H19FN4O4,398.39,29,12,0.2,10,6,4,105.61,119.89,2.12,0.84,0.24,1.21,2.55,1.39,-2.49,1.3,0.00327,Soluble,-2.94,0.457,0.00115,Soluble,-5.99,0.000411,1.03e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.13,0,0,0,0,0,0.56,0,0,2,4.2,B,2,89.40220000000001
Molecule 3,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)N(Cc1ccccc1)C,C22H24N4O4,408.45,30,12,0.27,11,5,3,113.82,111.1,2.14,0.86,-0.26,1.0,2.47,1.24,-2.48,1.34,0.00328,Soluble,-2.78,0.683,0.00167,Soluble,-5.77,0.000687,1.68e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.18,0,0,1,0,0,0.56,0,0,2,4.37,B,3,88.751
Molecule 4,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)Nc1cccc(c1)C,C21H22N4O4,394.42,29,12,0.24,10,5,4,110.62,119.89,2.04,1.1,-0.01,1.05,2.65,1.36,-2.62,0.936,0.00237,Soluble,-3.21,0.243,0.000616,Soluble,-6.1,0.000315,8e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-7.92,0,0,0,0,0,0.56,0,0,2,4.21,B,4,89.3916
Molecule 5,COc1cc(Cl)c(cc1NC(=O)CCNC(=O)c1ccc[n+](c1)[O-])C,C17H18ClN3O4,363.8,25,12,0.24,8,4,2,95.71,92.89,2.06,0.91,1.86,1.64,1.85,1.66,-2.5,1.16,0.00319,Soluble,-2.45,1.3,0.00358,Soluble,-5.04,0.00334,9.18e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.87,0,0,0,0,0,0.55,0,2,2,2.55,B,5,89.744
Molecule 6,O=C(N[C@@H]1CCOc2c1cccc2)CSc1cccc[n+]1[O-],C16H16N2O3S,316.37,22,12,0.25,5,3,1,85.61,89.09,1.61,1.68,1.73,1.91,1.54,1.69,-2.93,0.369,0.00117,Soluble,-3.17,0.216,0.000683,Soluble,-3.98,0.0331,0.000104,Soluble,High,No,Yes,No,Yes,No,No,No,-7.04,0,0,0,0,0,0.55,0,2,0,3.26,B,6,90.2574
Molecule 7,COc1ccc(cc1NC(=O)CCNC(=O)c1ccc[n+](c1)[O-])Cl,C16H16ClN3O4,349.77,24,12,0.19,8,4,2,90.74,92.89,1.92,0.54,1.55,1.4,1.33,1.35,-2.19,2.25,0.00645,Soluble,-2.06,3.03,0.00866,Soluble,-4.66,0.00765,2.19e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.05,0,0,0,0,0,0.55,0,2,1,2.41,B,7,90.0546
Molecule 8,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)Nc1ccccc1,C20H20N4O4,380.4,28,12,0.2,10,5,4,105.65,119.89,1.61,0.74,-0.32,0.83,2.11,0.99,-2.32,1.81,0.00477,Soluble,-2.84,0.554,0.00146,Soluble,-5.72,0.000723,1.9e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.1,0,0,0,0,0,0.56,0,0,2,4.19,B,8,88.562
Molecule 9,COc1ccccc1O[C@H](CNC(=O)c1ccc[n+](c1)[O-])C,C16H18N2O4,302.33,22,12,0.25,7,4,1,82.72,73.02,2.2,1.21,1.53,1.36,1.27,1.51,-2.42,1.15,0.00382,Soluble,-2.34,1.38,0.00457,Soluble,-3.84,0.0435,0.000144,Soluble,High,No,No,No,No,No,No,No,-7.29,0,0,0,0,0,0.55,0,2,0,2.71,B,9,90.5166
Molecule 10,Fc1ccc(c(c1)S(=O)(=O)Nc1cnc(c(c1)C(=O)O)N1CCCCCC1)F,C18H19F2N3O4S,411.42,28,12,0.33,5,7,2,102.48,107.98,1.38,2.76,4.59,1.36,2.04,2.43,-4.12,0.0314,7.64e-05,Moderately soluble,-4.68,0.00854,2.08e-05,Moderately soluble,-5.37,0.00177,4.3e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-6.85,0,0,0,0,0,0.56,0,0,1,3.04,B,10,86.6816
