Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Group,Molecule_ID,Drug_Score
Molecule 1,OC[C@@H]1O[C@H](O[C@@H]2[C@H](N)C[C@H]([C@H]([C@H]2O)O[C@H]2O[C@@H](CNC(=O)CCCC[C@@H]3SC[C@H]4[C@@H]3NC(=O)N4)[C@H](C[C@H]2N)O)N)[C@@H]([C@H]([C@@H]1O)N)O,C28H51N7O11S,693.81,47,0,0.93,13,15,12,171.73,337.68,1.82,-5.43,-6.17,-4.5,-5.64,-3.98,0.14,952.0,1.37,Highly soluble,-1.01,68.2,0.0982,Very soluble,1.47,20200.0,29.2,Soluble,Low,No,Yes,No,No,No,No,No,-14.39,3,4,2,1,5,0.17,0,1,2,7.5,C,1,16.2558
Molecule 2,OC[C@@H]1O[C@H](O[C@H]2[C@H](N)C[C@H]([C@H]([C@H]2O)O[C@H]2O[C@@H](CNC(=O)CCCC[C@@H]3SC[C@H]4[C@@H]3NC(=O)N4)[C@H](C[C@H]2N)O)N)[C@@H]([C@H]([C@@H]1O)N)O,C28H51N7O11S,693.81,47,0,0.93,13,15,12,171.73,337.68,1.92,-5.43,-6.17,-4.5,-5.64,-3.97,0.14,952.0,1.37,Highly soluble,-1.01,68.2,0.0982,Very soluble,1.47,20200.0,29.2,Soluble,Low,No,Yes,No,No,No,No,No,-14.39,3,4,2,1,5,0.17,0,1,2,7.5,C,2,16.2558
Molecule 3,NCC[C@@H](C(=O)N[C@@H]1C[C@@H](N)[C@H]([C@@H]([C@H]1O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)N)O)O)O[C@H]1O[C@@H](CN)[C@H]([C@@H]([C@H]1O)O)O)O,C22H43N5O13,585.6,40,0,0.95,11,17,13,128.99,331.94,-0.61,-7.89,-8.42,-6.85,-7.58,-6.27,2.23,98500.0,168.0,Highly soluble,1.67,27100.0,46.3,Highly soluble,4.82,38900000.0,66400.0,Soluble,Low,No,Yes,No,No,No,No,No,-15.47,3,3,2,1,4,0.17,0,0,2,6.74,C,3,18.994
Molecule 4,NCC[C@@H](C(=O)NC[C@@H]1O[C@H](O[C@H]2[C@@H](N)C[C@H]([C@@H]([C@H]2O)O[C@H]2O[C@@H](CO)[C@H]([C@@H]([C@H]2O)N)O)NC(=O)[C@H](CCN)O)[C@@H]([C@@H]([C@@H]1O)O)O)O,C26H50N6O15,686.71,47,0,0.92,16,19,15,152.38,381.27,0.04,-8.84,-9.56,-7.86,-7.89,-6.82,2.53,231000.0,337.0,Highly soluble,1.62,28300.0,41.2,Highly soluble,4.68,32800000.0,47800.0,Soluble,Low,No,Yes,No,No,No,No,No,-16.77,3,4,2,1,6,0.17,0,0,2,7.37,C,4,12.0388
Molecule 5,NCC[C@@H](C(=O)NC[C@@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@H]([C@@H]([C@@H]2O)O[C@H]2O[C@@H](CO)[C@H]([C@@H]([C@H]2O)N)O)NC(=O)[C@H](CCN)O)[C@@H]([C@@H]([C@@H]1O)O)O)O,C26H50N6O15,686.71,47,0,0.92,16,19,15,152.38,381.27,0.61,-8.84,-9.56,-7.86,-7.89,-6.71,2.53,231000.0,337.0,Highly soluble,1.62,28300.0,41.2,Highly soluble,4.68,32800000.0,47800.0,Soluble,Low,No,Yes,No,No,No,No,No,-16.77,3,4,2,1,6,0.17,0,0,2,7.37,C,5,12.0388
Molecule 6,NCC[C@@H](C(=O)N[C@@H]1C[C@@H](N)[C@H]([C@@H]([C@H]1O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)N)O)O)O[C@H]1O[C@@H](CN)[C@H]([C@@H]([C@H]1N)O)O)O,C22H44N6O12,584.62,40,0,0.95,11,17,13,130.54,337.73,-0.21,-8.15,-8.46,-6.85,-7.82,-6.3,2.4,145000.0,249.0,Highly soluble,1.81,38100.0,65.1,Highly soluble,4.6,23500000.0,40200.0,Soluble,Low,No,Yes,No,No,No,No,No,-15.65,3,4,2,1,4,0.17,0,0,2,6.8,C,6,18.434599999999996
Molecule 7,NCC[C@@H](C(=O)N[C@@H]1C[C@@H](N)[C@H]([C@H]([C@@H]1O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)N)O)O)O[C@H]1O[C@@H](CN)[C@H]([C@@H]([C@H]1O)O)O)O,C22H43N5O13,585.6,40,0,0.95,11,17,13,128.99,331.94,-0.56,-7.89,-8.42,-6.85,-7.58,-6.26,2.23,98500.0,168.0,Highly soluble,1.67,27100.0,46.3,Highly soluble,4.82,38900000.0,66400.0,Soluble,Low,No,Yes,No,No,No,No,No,-15.47,3,3,2,1,4,0.17,0,0,2,6.74,C,7,18.994
Molecule 8,Nc1ccnc(n1)CNC(=O)c1c(O)cccc1O,C12H12N4O3,260.25,19,12,0.08,4,5,4,67.97,121.36,1.0,1.05,0.26,-0.48,0.18,0.4,-2.32,1.25,0.0048,Soluble,-3.19,0.168,0.000647,Soluble,-3.07,0.222,0.000853,Soluble,High,No,No,No,No,No,No,No,-7.14,0,0,0,0,0,0.55,0,0,0,1.82,C,8,86.405
Molecule 9,OC[C@@H]1O[C@H](O[C@H]2[C@H](N)C[C@@H]([C@@H]([C@H]2O)O)N)[C@@H]([C@H]([C@@H]1O)N)O,C12H25N3O7,323.34,22,0,1.0,3,10,8,71.67,197.67,0.69,-5.1,-5.08,-4.01,-4.89,-3.68,1.57,11900.0,36.8,Highly soluble,1.59,12600.0,38.9,Highly soluble,3.46,928000.0,2870.0,Soluble,Low,No,Yes,No,No,No,No,No,-11.89,1,1,1,1,3,0.55,0,0,0,5.35,C,9,60.1998
Molecule 10,NCC[C@@H](C(=O)N[C@@H]1C[C@H](NC(=O)[C@H](CCN)O)[C@@H]([C@H]([C@H]1O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)N)O)O)O[C@H]1O[C@@H](CN)[C@H]([C@H]([C@H]1O)O)O)O,C26H50N6O15,686.71,47,0,0.92,16,19,15,152.38,381.27,-0.37,-8.84,-9.56,-7.86,-7.89,-6.91,2.53,231000.0,337.0,Highly soluble,1.62,28300.0,41.2,Highly soluble,4.68,32800000.0,47800.0,Soluble,Low,No,Yes,No,No,No,No,No,-16.77,3,4,2,1,6,0.17,0,0,2,7.37,C,10,12.0388
