Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Group,Molecule_ID,Drug_Score
Molecule 1,COC1=CC(=CNNc2ccc(cn2)[N+](=O)[O-])C=C(C1=O)OC,C14H14N4O5,318.28,23,6,0.14,6,6,2,82.46,118.3,1.5,2.17,1.24,-0.84,-1.31,0.55,-2.98,0.335,0.00105,Soluble,-4.29,0.0164,5.16e-05,Moderately soluble,-2.83,0.469,0.00147,Soluble,High,No,No,Yes,No,No,No,No,-6.7,0,0,0,0,0,0.55,0,2,0,3.57,D,1,88.01559999999999
Molecule 2,C/C(=N\Nc1[nH]nc(n1)SCc1nc2c([nH]1)cc(cc2)[N+](=O)[O-])/c1ccc2c(c1)OCO2,C19H16N8O4S,452.45,32,20,0.16,7,8,3,119.41,184.22,1.0,3.74,3.1,1.14,1.43,2.08,-5.0,0.00451,9.96e-06,Moderately soluble,-7.3,2.26e-05,5e-08,Poorly soluble,-6.46,0.000155,3.44e-07,Poorly soluble,Low,No,No,No,Yes,No,No,Yes,-6.4,1,0,1,1,1,0.55,0,3,2,3.63,D,2,72.289
Molecule 3,[O-][n+]1ccc(cc1)C(=O)/C=C\c1ccc(cc1)C(=O)C,C16H13NO3,267.28,20,12,0.06,4,3,0,77.6,59.6,1.47,1.31,2.31,1.64,2.49,1.85,-2.5,0.84,0.00314,Soluble,-2.16,1.84,0.00688,Soluble,-3.52,0.0805,0.000301,Soluble,High,Yes,No,No,Yes,No,No,No,-7.0,0,0,0,0,0,0.55,0,3,0,2.6,D,3,88.79560000000001
Molecule 4,Oc1cccc(c1)/C=N/Nc1[nH]nc(n1)SCc1nc2c([nH]1)cc(cc2)[N+](=O)[O-],C17H14N8O3S,410.41,29,20,0.06,7,7,4,110.57,185.99,0.27,3.35,2.69,1.97,0.87,1.83,-4.54,0.0117,2.86e-05,Moderately soluble,-6.93,4.79e-05,1.17e-07,Poorly soluble,-5.79,0.000667,1.63e-06,Moderately soluble,Low,No,No,Yes,No,No,No,No,-6.43,1,0,1,1,1,0.55,0,3,1,3.43,D,4,73.7028
Molecule 5,O=C([C@@H]1COc2c(O1)cccc2)NNC(=O)c1cc[n+](cc1)[O-],C15H13N3O5,315.28,23,12,0.13,5,5,2,78.8,102.12,1.07,0.25,-0.08,0.67,-0.41,0.3,-2.01,3.09,0.00981,Soluble,-1.96,3.5,0.0111,Very soluble,-2.93,0.371,0.00118,Soluble,High,No,Yes,No,No,No,No,No,-8.05,0,0,0,0,0,0.55,0,2,0,3.35,D,5,87.2056
Molecule 6,Oc1ccc(cc1)/C=N/Nc1[nH]nc(n1)SCc1nc2c([nH]1)cc(cc2)[N+](=O)[O-],C17H14N8O3S,410.41,29,20,0.06,7,7,4,110.57,185.99,0.19,3.35,2.69,1.97,0.87,1.81,-4.54,0.0117,2.86e-05,Moderately soluble,-6.93,4.79e-05,1.17e-07,Poorly soluble,-5.79,0.000667,1.63e-06,Moderately soluble,Low,No,No,Yes,No,No,No,No,-6.43,1,0,1,1,1,0.55,1,3,1,3.43,D,6,73.7628
Molecule 7,[O-][N+](=O)c1c(ncnc1Nc1cccc2c1cccn2)NNC(=O)c1ccc(cc1)[N+](=O)[O-],C20H14N8O5,446.38,33,22,0.0,8,8,3,121.54,183.47,1.53,4.59,3.15,0.68,-2.37,1.52,-5.46,0.00153,3.43e-06,Moderately soluble,-8.17,3.04e-06,6.81e-09,Poorly soluble,-6.73,8.27e-05,1.85e-07,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-5.76,1,0,1,1,1,0.55,0,2,3,3.47,D,7,74.1654
Molecule 8,C[C@H](C(=O)N(Cc1ccc2c(c1)OCO2)C)NC(=O)c1cccc(c1)[N+](=O)[O-],C19H19N3O6,385.37,28,12,0.26,8,6,1,101.13,113.69,2.67,2.27,1.95,0.84,0.39,1.62,-3.45,0.137,0.000356,Soluble,-4.29,0.0196,5.08e-05,Moderately soluble,-4.5,0.0123,3.2e-05,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-7.04,0,0,0,0,0,0.55,0,2,2,3.29,D,8,89.43260000000001
Molecule 9,OS(=O)(=O)c1cc(ccc1/N=N/C(=N/NC1N=NN=N1)/c1ccccc1)S(=O)(=O)O,C14H12N8O6S2,452.43,30,12,0.07,7,13,3,113.22,224.05,0.81,2.41,2.97,2.73,0.94,1.97,-4.0,0.0455,0.000101,Soluble,-6.76,7.91e-05,1.75e-07,Poorly soluble,-3.96,0.0492,0.000109,Soluble,Low,No,Yes,No,No,No,No,No,-7.35,1,0,1,1,2,0.11,1,4,1,4.15,D,9,59.836400000000005
Molecule 10,O=C(NNC(=O)c1cc[n+](cc1)[O-])COCc1ccccc1,C15H15N3O4,301.3,22,12,0.13,8,4,2,78.79,92.89,1.17,0.02,0.15,0.92,0.15,0.48,-1.6,7.63,0.0253,Very soluble,-1.52,9.04,0.03,Very soluble,-3.68,0.0624,0.000207,Soluble,High,No,No,No,No,No,No,No,-8.12,0,0,0,0,0,0.55,0,2,1,2.67,D,10,87.466
