Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)Nc1cccc2c1nsn2,C20H18N6O4S,438.46,31,15,0.20,10,7,4,116.63,173.91,2.17,0.61,-0.32,0.08,2.67,1.04,-2.64,1.00e+00,2.29e-03,Soluble,-3.84,6.39e-02,1.46e-04,Soluble,-5.87,5.91e-04,1.35e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-8.54,0,0,1,1,1,0.11,0,0,2,4.16
Molecule 2,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)Nc1ccccc1F,C20H19FN4O4,398.39,29,12,0.20,10,6,4,105.61,119.89,2.12,0.84,0.24,1.21,2.55,1.39,-2.49,1.30e+00,3.27e-03,Soluble,-2.94,4.57e-01,1.15e-03,Soluble,-5.99,4.11e-04,1.03e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.13,0,0,0,0,0,0.56,0,0,2,4.20
Molecule 3,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)N(Cc1ccccc1)C,C22H24N4O4,408.45,30,12,0.27,11,5,3,113.82,111.10,2.14,0.86,-0.26,1.00,2.47,1.24,-2.48,1.34e+00,3.28e-03,Soluble,-2.78,6.83e-01,1.67e-03,Soluble,-5.77,6.87e-04,1.68e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.18,0,0,1,0,0,0.56,0,0,2,4.37
Molecule 4,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)Nc1cccc(c1)C,C21H22N4O4,394.42,29,12,0.24,10,5,4,110.62,119.89,2.04,1.10,-0.01,1.05,2.65,1.36,-2.62,9.36e-01,2.37e-03,Soluble,-3.21,2.43e-01,6.16e-04,Soluble,-6.10,3.15e-04,8.00e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-7.92,0,0,0,0,0,0.56,0,0,2,4.21
Molecule 5,COc1cc(Cl)c(cc1NC(=O)CCNC(=O)c1ccc[n+](c1)[O-])C,C17H18ClN3O4,363.80,25,12,0.24,8,4,2,95.71,92.89,2.06,0.91,1.86,1.64,1.85,1.66,-2.50,1.16e+00,3.19e-03,Soluble,-2.45,1.30e+00,3.58e-03,Soluble,-5.04,3.34e-03,9.18e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.87,0,0,0,0,0,0.55,0,2,2,2.55
Molecule 6,O=C(N[C@@H]1CCOc2c1cccc2)CSc1cccc[n+]1[O-],C16H16N2O3S,316.37,22,12,0.25,5,3,1,85.61,89.09,1.61,1.68,1.73,1.91,1.54,1.69,-2.93,3.69e-01,1.17e-03,Soluble,-3.17,2.16e-01,6.83e-04,Soluble,-3.98,3.31e-02,1.04e-04,Soluble,High,No,Yes,No,Yes,No,No,No,-7.04,0,0,0,0,0,0.55,0,2,0,3.26
Molecule 7,COc1ccc(cc1NC(=O)CCNC(=O)c1ccc[n+](c1)[O-])Cl,C16H16ClN3O4,349.77,24,12,0.19,8,4,2,90.74,92.89,1.92,0.54,1.55,1.40,1.33,1.35,-2.19,2.25e+00,6.45e-03,Soluble,-2.06,3.03e+00,8.66e-03,Soluble,-4.66,7.65e-03,2.19e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.05,0,0,0,0,0,0.55,0,2,1,2.41
Molecule 8,O=C(N[C@@H](C(=O)O)CC1=c2ccccc2=NC1)NCC(=O)Nc1ccccc1,C20H20N4O4,380.40,28,12,0.20,10,5,4,105.65,119.89,1.61,0.74,-0.32,0.83,2.11,0.99,-2.32,1.81e+00,4.77e-03,Soluble,-2.84,5.54e-01,1.46e-03,Soluble,-5.72,7.23e-04,1.90e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.10,0,0,0,0,0,0.56,0,0,2,4.19
Molecule 9,COc1ccccc1O[C@H](CNC(=O)c1ccc[n+](c1)[O-])C,C16H18N2O4,302.33,22,12,0.25,7,4,1,82.72,73.02,2.20,1.21,1.53,1.36,1.27,1.51,-2.42,1.15e+00,3.82e-03,Soluble,-2.34,1.38e+00,4.57e-03,Soluble,-3.84,4.35e-02,1.44e-04,Soluble,High,No,No,No,No,No,No,No,-7.29,0,0,0,0,0,0.55,0,2,0,2.71
Molecule 10,Fc1ccc(c(c1)S(=O)(=O)Nc1cnc(c(c1)C(=O)O)N1CCCCCC1)F,C18H19F2N3O4S,411.42,28,12,0.33,5,7,2,102.48,107.98,1.38,2.76,4.59,1.36,2.04,2.43,-4.12,3.14e-02,7.64e-05,Moderately soluble,-4.68,8.54e-03,2.08e-05,Moderately soluble,-5.37,1.77e-03,4.30e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-6.85,0,0,0,0,0,0.56,0,0,1,3.04
