Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC[C@@H]1O[C@H](O[C@@H]2[C@H](N)C[C@H]([C@H]([C@H]2O)O[C@H]2O[C@@H](CNC(=O)CCCC[C@@H]3SC[C@H]4[C@@H]3NC(=O)N4)[C@H](C[C@H]2N)O)N)[C@@H]([C@H]([C@@H]1O)N)O,C28H51N7O11S,693.81,47,0,0.93,13,15,12,171.73,337.68,1.82,-5.43,-6.17,-4.50,-5.64,-3.98,0.14,9.52e+02,1.37e+00,Highly soluble,-1.01,6.82e+01,9.82e-02,Very soluble,1.47,2.02e+04,2.92e+01,Soluble,Low,No,Yes,No,No,No,No,No,-14.39,3,4,2,1,5,0.17,0,1,2,7.50
Molecule 2,OC[C@@H]1O[C@H](O[C@H]2[C@H](N)C[C@H]([C@H]([C@H]2O)O[C@H]2O[C@@H](CNC(=O)CCCC[C@@H]3SC[C@H]4[C@@H]3NC(=O)N4)[C@H](C[C@H]2N)O)N)[C@@H]([C@H]([C@@H]1O)N)O,C28H51N7O11S,693.81,47,0,0.93,13,15,12,171.73,337.68,1.92,-5.43,-6.17,-4.50,-5.64,-3.97,0.14,9.52e+02,1.37e+00,Highly soluble,-1.01,6.82e+01,9.82e-02,Very soluble,1.47,2.02e+04,2.92e+01,Soluble,Low,No,Yes,No,No,No,No,No,-14.39,3,4,2,1,5,0.17,0,1,2,7.50
Molecule 3,NCC[C@@H](C(=O)N[C@@H]1C[C@@H](N)[C@H]([C@@H]([C@H]1O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)N)O)O)O[C@H]1O[C@@H](CN)[C@H]([C@@H]([C@H]1O)O)O)O,C22H43N5O13,585.60,40,0,0.95,11,17,13,128.99,331.94,-0.61,-7.89,-8.42,-6.85,-7.58,-6.27,2.23,9.85e+04,1.68e+02,Highly soluble,1.67,2.71e+04,4.63e+01,Highly soluble,4.82,3.89e+07,6.64e+04,Soluble,Low,No,Yes,No,No,No,No,No,-15.47,3,3,2,1,4,0.17,0,0,2,6.74
Molecule 4,NCC[C@@H](C(=O)NC[C@@H]1O[C@H](O[C@H]2[C@@H](N)C[C@H]([C@@H]([C@H]2O)O[C@H]2O[C@@H](CO)[C@H]([C@@H]([C@H]2O)N)O)NC(=O)[C@H](CCN)O)[C@@H]([C@@H]([C@@H]1O)O)O)O,C26H50N6O15,686.71,47,0,0.92,16,19,15,152.38,381.27,0.04,-8.84,-9.56,-7.86,-7.89,-6.82,2.53,2.31e+05,3.37e+02,Highly soluble,1.62,2.83e+04,4.12e+01,Highly soluble,4.68,3.28e+07,4.78e+04,Soluble,Low,No,Yes,No,No,No,No,No,-16.77,3,4,2,1,6,0.17,0,0,2,7.37
Molecule 5,NCC[C@@H](C(=O)NC[C@@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@H]([C@@H]([C@@H]2O)O[C@H]2O[C@@H](CO)[C@H]([C@@H]([C@H]2O)N)O)NC(=O)[C@H](CCN)O)[C@@H]([C@@H]([C@@H]1O)O)O)O,C26H50N6O15,686.71,47,0,0.92,16,19,15,152.38,381.27,0.61,-8.84,-9.56,-7.86,-7.89,-6.71,2.53,2.31e+05,3.37e+02,Highly soluble,1.62,2.83e+04,4.12e+01,Highly soluble,4.68,3.28e+07,4.78e+04,Soluble,Low,No,Yes,No,No,No,No,No,-16.77,3,4,2,1,6,0.17,0,0,2,7.37
Molecule 6,NCC[C@@H](C(=O)N[C@@H]1C[C@@H](N)[C@H]([C@@H]([C@H]1O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)N)O)O)O[C@H]1O[C@@H](CN)[C@H]([C@@H]([C@H]1N)O)O)O,C22H44N6O12,584.62,40,0,0.95,11,17,13,130.54,337.73,-0.21,-8.15,-8.46,-6.85,-7.82,-6.30,2.40,1.45e+05,2.49e+02,Highly soluble,1.81,3.81e+04,6.51e+01,Highly soluble,4.60,2.35e+07,4.02e+04,Soluble,Low,No,Yes,No,No,No,No,No,-15.65,3,4,2,1,4,0.17,0,0,2,6.80
Molecule 7,NCC[C@@H](C(=O)N[C@@H]1C[C@@H](N)[C@H]([C@H]([C@@H]1O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)N)O)O)O[C@H]1O[C@@H](CN)[C@H]([C@@H]([C@H]1O)O)O)O,C22H43N5O13,585.60,40,0,0.95,11,17,13,128.99,331.94,-0.56,-7.89,-8.42,-6.85,-7.58,-6.26,2.23,9.85e+04,1.68e+02,Highly soluble,1.67,2.71e+04,4.63e+01,Highly soluble,4.82,3.89e+07,6.64e+04,Soluble,Low,No,Yes,No,No,No,No,No,-15.47,3,3,2,1,4,0.17,0,0,2,6.74
Molecule 8,Nc1ccnc(n1)CNC(=O)c1c(O)cccc1O,C12H12N4O3,260.25,19,12,0.08,4,5,4,67.97,121.36,1.00,1.05,0.26,-0.48,0.18,0.40,-2.32,1.25e+00,4.80e-03,Soluble,-3.19,1.68e-01,6.47e-04,Soluble,-3.07,2.22e-01,8.53e-04,Soluble,High,No,No,No,No,No,No,No,-7.14,0,0,0,0,0,0.55,0,0,0,1.82
Molecule 9,OC[C@@H]1O[C@H](O[C@H]2[C@H](N)C[C@@H]([C@@H]([C@H]2O)O)N)[C@@H]([C@H]([C@@H]1O)N)O,C12H25N3O7,323.34,22,0,1.00,3,10,8,71.67,197.67,0.69,-5.10,-5.08,-4.01,-4.89,-3.68,1.57,1.19e+04,3.68e+01,Highly soluble,1.59,1.26e+04,3.89e+01,Highly soluble,3.46,9.28e+05,2.87e+03,Soluble,Low,No,Yes,No,No,No,No,No,-11.89,1,1,1,1,3,0.55,0,0,0,5.35
Molecule 10,NCC[C@@H](C(=O)N[C@@H]1C[C@H](NC(=O)[C@H](CCN)O)[C@@H]([C@H]([C@H]1O[C@H]1O[C@@H](CO)[C@H]([C@@H]([C@H]1O)N)O)O)O[C@H]1O[C@@H](CN)[C@H]([C@H]([C@H]1O)O)O)O,C26H50N6O15,686.71,47,0,0.92,16,19,15,152.38,381.27,-0.37,-8.84,-9.56,-7.86,-7.89,-6.91,2.53,2.31e+05,3.37e+02,Highly soluble,1.62,2.83e+04,4.12e+01,Highly soluble,4.68,3.28e+07,4.78e+04,Soluble,Low,No,Yes,No,No,No,No,No,-16.77,3,4,2,1,6,0.17,0,0,2,7.37
