Evidence,Property,Source,Genome Name,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,alg8,Alginate polymerase/glycosyltransferase Alg8,,"Antiphagocytosis,Serum resistance",,99,100,100,1.00E-291
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,EF-Tu,Translation elongation factor Tu,Translation elongation factor Tu,antibiotic target in susceptible species,364475;9678602,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Multidrug efflux system MdtABC-TolC, membrane fusion component MdtA",the resistance-nodulation-cell division (rnd) superfamily.,2.A.6.2.39,10984043,100,100,99,1.00E-239
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MexJK-OprM/OpmH,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexK of MexJK-OprM/OpmH system","Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexK of MexJK-OprM/OpmH system",efflux pump conferring antibiotic resistance,12193619,,,,
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,CatB family,Chloramphenicol O-acetyltransferase (EC 2.3.1.28) => CatB family,Chloramphenicol O-acetyltransferase (EC 2.3.1.28) => CatB family,antibiotic inactivation enzyme,2013403,,,,
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algD,GDP-mannose 6-dehydrogenase (EC 1.1.1.132),,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-254
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"4-hydroxyproline ABC transporter, permease protein 2",the atp-binding cassette (abc) superfamily.,3.A.1.3.21,,100,100,98,1.00E-114
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14 ,prpR,Sigma-54 dependent DNA-binding transcriptional regulator,,,18591226,99,72,99,1.00E-270
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,OccK9/OpdG,"Outer membrane low permeability porin, OprD family => OccK9/OpdG","Outer membrane low permeability porin, OprD family => OccK9/OpdG",protein modulating permeability to antibiotic,22272184,,,,
BLAT,Drug Target,TTD,Pseudomonas aeruginosa ,,,Arginine deiminase (EC 3.5.3.6),,,,100,100,99,1.00E-248
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,tagR,hypothetical protein,,"Secretion system,Type VI secretion system",,100,100,100,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,phzG1,Pyridoxamine 5'-phosphate oxidase PhzG (EC 1.4.3.5),,,,100,100,100,1.00E-124
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas fluorescens R124,,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5),the choline/ethanolaminephosphotransferase 1 (cept1) family.,4.F.1.1.8,,97,97,85,3.00E-84
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,Iso-tRNA,Isoleucyl-tRNA synthetase (EC 6.1.1.5),Isoleucyl-tRNA synthetase (EC 6.1.1.5),antibiotic target in susceptible species,7929087,,,,
BLAT,Drug Target,TTD,Pseudomonas aeruginosa ,,,Phosphoglucomutase (EC 5.4.2.2) @ Phosphomannomutase (EC 5.4.2.8),,,,100,53,100,1.00E-272
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscC,"Type III secretion outermembrane pore forming protein (YscC,MxiD,HrcC, InvG)",,"Secretion system,Type III secretion system",,100,100,99,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,PA3826,FIG018175: Predicted transmembrane protein,,,14641575,100,100,100,2.00E-93
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,xcpZ,General secretion pathway protein M,,"Secretion system,Type II secretion system",,100,100,99,7.00E-93
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,MdtABC-TolC,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)",efflux pump conferring antibiotic resistance,12107134,,,,
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,pilD,Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-),,,14641575,100,100,99,1.00E-170
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mdoG,Glucans biosynthesis protein G precursor,,,14641575,100,100,100,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdD,Pyoverdine sidechain non-ribosomal peptide synthetase PvdD @ Siderophore biosynthesis non-ribosomal peptide synthetase modules,,"Iron uptake,Siderophore,Pigment",,6,100,100,7.00E-93
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pchB,Isochorismate pyruvate-lyase (EC 4.2.99.21) [pyochelin] siderophore @ Isochorismate pyruvate-lyase (EC 4.2.99.21) of siderophore biosynthesis,,"Iron uptake,Siderophore",,100,100,99,9.00E-52
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,algU,RNA polymerase sigma factor RpoE,,"Antiphagocytosis,Serum resistance",,100,100,100,1.00E-106
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscB,"Type III secretion chaperone protein for YopN (SycN,YscB)",,"Secretion system,Type III secretion system",,100,100,99,2.00E-74
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),fptA,Outer membrane receptor for ferric-pyochelin FptA @ Outer membrane receptor for ferric siderophore,Lauryl Dimethylamine-N-Oxide,Drug target,,100,100,100,0
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,purH,IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3),,,14641575,100,100,100,0.00E+00
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pvdL,Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules,,,,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscP,Type III secretion protein (YscP),,"Secretion system,Type III secretion system",,35,100,98,2.00E-67
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Phospholipase/lecithinase/hemolysin,the autotransporter-1 (at-1) family.,1.B.12.5.9,10559163;10984043,100,100,99,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,hypothetical protein,the outer membrane fimbrial usher porin (fup) family.,1.B.11.3.7,10984043,99,91,99,0
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"PqsE, quinolone signal response protein",bis(4-nitrophenyl) hydrogen phosphate,Drug target,,100,100,100,1.00E-179
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Na+ or Li+/H+ antiporter NhaB,the nhab na(+):h(+) antiporter (nhab) family.,2.A.34.1.3,,100,100,99,1.00E-283
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,PA1009,Glycine cleavage system transcriptional antiactivator GcvR,,,14641575,100,100,99,1.00E-103
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,TonB-dependent receptor,the outer membrane receptor (omr) family.,1.B.14.4.1,10984043;8760927,100,100,100,0
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,"Alginate export system Algk/AlgE, outer membrane porin AlgE",the alginate export porin (aep) family.,1.B.13.1.1,10984043;1743507;7521870,100,100,100,1.00E-299
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),atsA,Arylsulfatase (EC 3.1.6.1),2-Aminopropanedioic Acid,Drug target,,100,100,100,0
BLAT,Antibiotic Resistance,CARD,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,mexG,hypothetical protein,,efflux pump conferring antibiotic resistance,,100,100,99,2.00E-76
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,motA,Flagellar motor rotation protein MotA,,,,100,100,100,1.00E-157
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pchF,"Pyochelin synthetase PchF, non-ribosomal peptide synthetase module @ Siderophore biosynthesis non-ribosomal peptide synthetase modules",,"Iron uptake,Siderophore",,100,100,99,0
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,rpoC,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),antibiotic target in susceptible species,16723576,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,Nitric-oxide reductase subunit B (EC 1.7.99.7),the proton-translocating cytochrome oxidase (cox) superfamily.,3.D.4.10.3,10984043;7711073,100,100,99,1.00E-276
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,EF-G,Translation elongation factor G,Translation elongation factor G,antibiotic target in susceptible species,17980694,,,,
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228),,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)",the atp-binding cassette (abc) superfamily.,3.A.1.3.23,,100,100,99,1.00E-128
K-mer Search,Antibiotic Resistance,PATRIC,Pseudomonas aeruginosa ,,HtdX,Probable (3R)-hydroxyacyl-CoA dehydratase HtdX,Probable (3R)-hydroxyacyl-CoA dehydratase HtdX,antibiotic target replacement protein,19136596;24100560;20511508;15247240,,,,
BLAT,Drug Target,DrugBank,Pseudomonas aeruginosa ,Escherichia coli (strain K12),rpsJ,SSU ribosomal protein S10p (S20e),Nitrofurantoin,Drug target,,100,100,90,5.00E-47
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14,katA,Catalase KatE (EC 1.11.1.6),,,15972537,100,100,100,1.00E-296
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pilV,Type IV fimbrial biogenesis protein PilV,,"Adherence,Twitching motility",,100,100,100,1.00E-103
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pscS,"Type III secretion inner membrane protein (YscS,homologous to flagellar export components)",,"Secretion system,Type III secretion system",,100,100,100,4.00E-41
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,pyrF,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23),,,14641575,100,100,100,1.00E-128
BLAT,Virulence Factor,Victors,Pseudomonas aeruginosa ,Pseudomonas aeruginosa UCBPP-PA14 ,dsbA,Periplasmic thiol:disulfide interchange protein DsbA,,,18591226,100,100,100,1.00E-120
BLAT,Transporter,TCDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa,,Iron(III) dicitrate transport protein FecA @ Iron siderophore receptor protein,the outer membrane receptor (omr) family.,1.B.14.1.12,10984043,100,100,99,0
BLAT,Virulence Factor,VFDB,Pseudomonas aeruginosa ,Pseudomonas aeruginosa PAO1,fliN,Flagellar motor switch protein FliN,,"Adherence,Motility",,100,100,100,1.00E-82
