Genome,Feature Type,Start,End,Length,Strand,AA Length,Gene Symbol,Product,GO
Pseudomonas aeruginosa ,CDS,1000808,1001953,1146,+,381,,Glycosyltransferase,
Pseudomonas aeruginosa ,CDS,1002009,1002212,204,-,67,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1002590,1004083,1494,-,497,,Acetyl-CoA hydrolase (EC 3.1.2.1),GO:0003986|acetyl-CoA hydrolase activity
Pseudomonas aeruginosa ,CDS,1004181,1004609,429,-,142,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1004647,1006833,2187,-,728,,ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12),
Pseudomonas aeruginosa ,CDS,1007010,1009865,2856,+,951,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1009924,1012125,2202,+,733,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1012122,1012847,726,+,241,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1012841,1014235,1395,-,464,,Uncharacterized protease YegQ,
Pseudomonas aeruginosa ,CDS,1014316,1015782,1467,-,488,,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),GO:0004345|glucose-6-phosphate dehydrogenase activity
Pseudomonas aeruginosa ,CDS,1015868,1016749,882,+,293,,"Transcriptional regulator, RpiR family",
Pseudomonas aeruginosa ,CDS,1017025,1017975,951,-,316,,"Transcriptional regulator PA5437, LysR family",
Pseudomonas aeruginosa ,CDS,1018174,1019589,1416,+,471,,Pyruvate carboxylase subunit A (EC 6.4.1.1),GO:0004736|pyruvate carboxylase activity
Pseudomonas aeruginosa ,CDS,1019605,1021428,1824,+,607,,Pyruvate carboxylase subunit B (biotin-containing) (EC 6.4.1.1),GO:0004736|pyruvate carboxylase activity
Pseudomonas aeruginosa ,CDS,1021609,1022862,1254,+,417,,Tryptophan-specific transport protein,
Pseudomonas aeruginosa ,CDS,1022887,1023561,675,-,224,,GNAT family acetyltransferase PA5433,
Pseudomonas aeruginosa ,CDS,1023570,1024019,450,-,149,,Acetyltransferase,
Pseudomonas aeruginosa ,CDS,102378,104000,1623,+,540,,3-methylmercaptopropionyl-CoA ligase (EC 6.2.1.44) of DmdB1 type,
Pseudomonas aeruginosa ,CDS,1024147,1025622,1476,+,491,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)",GO:0004069|L-aspartate:2-oxoglutarate aminotransferase activity;GO:0004069|L-phenylalanine:2-oxoglutarate aminotransferase activity
Pseudomonas aeruginosa ,CDS,1025659,1026873,1215,+,404,,Sulfur transporter,
Pseudomonas aeruginosa ,CDS,1027237,1028661,1425,-,474,,Aspartate ammonia-lyase (EC 4.3.1.1),GO:0008797|aspartate ammonia-lyase activity
Pseudomonas aeruginosa ,CDS,1028837,1029745,909,+,302,,LysR-family transcriptional regulator PA5428,
Pseudomonas aeruginosa ,CDS,1029782,1030810,1029,-,342,,Alcohol dehydrogenase (EC 1.1.1.1),GO:0004022|alcohol dehydrogenase (NAD) activity
Pseudomonas aeruginosa ,CDS,1031158,1031649,492,+,163,,N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18),GO:0034023|5-(carboxyamino)imidazole ribonucleotide mutase activity
Pseudomonas aeruginosa ,CDS,1031680,1032762,1083,+,360,,N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18),GO:0034028|5-(carboxyamino)imidazole ribonucleotide synthase activity
Pseudomonas aeruginosa ,CDS,1032877,1033122,246,+,81,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1033184,1033732,549,+,182,,putative lipoprotein,
Pseudomonas aeruginosa ,CDS,1033798,1034715,918,-,305,,Aldose 1-epimerase,
Pseudomonas aeruginosa ,CDS,1034838,1036037,1200,-,399,,Glutathione-independent formaldehyde dehydrogenase (EC 1.2.1.46),GO:0018467|formaldehyde dehydrogenase activity
Pseudomonas aeruginosa ,CDS,1036244,1037101,858,-,285,,Formyltetrahydrofolate deformylase (EC 3.5.1.10),GO:0008864|formyltetrahydrofolate deformylase activity
Pseudomonas aeruginosa ,CDS,1037151,1037786,636,-,211,,Sarcosine oxidase gamma subunit (EC 1.5.3.1),GO:0008115|sarcosine oxidase activity
Pseudomonas aeruginosa ,CDS,1037880,1040897,3018,-,1005,,Sarcosine oxidase alpha subunit (EC 1.5.3.1),GO:0008115|sarcosine oxidase activity
Pseudomonas aeruginosa ,CDS,1040894,1041214,321,-,106,,Sarcosine oxidase delta subunit (EC 1.5.3.1),GO:0008115|sarcosine oxidase activity
Pseudomonas aeruginosa ,CDS,104118,105899,1782,+,593,,Acyl-CoA dehydrogenase 2 [fadN-fadA-fadE operon] (EC 1.3.8.7),
Pseudomonas aeruginosa ,CDS,1041308,1042558,1251,-,416,,Sarcosine oxidase beta subunit (EC 1.5.3.1),GO:0008115|sarcosine oxidase activity
Pseudomonas aeruginosa ,CDS,1042644,1043897,1254,-,417,,Serine hydroxymethyltransferase (EC 2.1.2.1),GO:0004372|glycine hydroxymethyltransferase activity
Pseudomonas aeruginosa ,CDS,1044113,1044754,642,+,213,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1044835,1045875,1041,+,346,,Low-specificity L-threonine aldolase (EC 4.1.2.48),
Pseudomonas aeruginosa ,CDS,1047278,1049719,2442,+,813,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1049713,1050813,1101,-,366,,GbcB Glycine betaine demethylase subunit B,
Pseudomonas aeruginosa ,CDS,1051238,1052527,1290,+,429,,GbcA Glycine betaine demethylase subunit A,
Pseudomonas aeruginosa ,CDS,1052575,1052685,111,+,36,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1052802,1053362,561,+,186,,Uncharacterized membrane protein BPP1830,
Pseudomonas aeruginosa ,CDS,1053367,1053543,177,+,58,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1053540,1053830,291,-,96,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1053827,1054159,333,-,110,,ATPase involved in DNA repair,
Pseudomonas aeruginosa ,CDS,1054156,1054389,234,-,77,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1054403,1054807,405,-,134,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1054839,1055045,207,-,68,,"Uncharacterized transcriptional regulator YozG, Cro/CI family",
Pseudomonas aeruginosa ,CDS,1055053,1055622,570,-,189,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1055747,1056520,774,-,257,,"Electron transfer flavoprotein, beta subunit",
Pseudomonas aeruginosa ,CDS,1056556,1057788,1233,-,410,,"Electron transfer flavoprotein, alpha subunit",
Pseudomonas aeruginosa ,CDS,1057907,1059868,1962,-,653,,DgcB Dimethylglycine demethylase subunit B,
Pseudomonas aeruginosa ,CDS,1059972,1062032,2061,-,686,,DgcA Dimethylglycine demethylase subunit A,
Pseudomonas aeruginosa ,CDS,106097,106963,867,+,288,,MBL-fold metallo-hydrolase superfamily,
Pseudomonas aeruginosa ,CDS,1062048,1062578,531,-,176,,Predicted hydrocarbon binding protein (contains V4R domain),
Pseudomonas aeruginosa ,CDS,1062705,1063682,978,-,325,,Microsomal dipeptidase (EC 3.4.13.19),
Pseudomonas aeruginosa ,CDS,1063904,1064374,471,-,156,,COGs COG3558,
Pseudomonas aeruginosa ,CDS,1064526,1066001,1476,+,491,,"Cardiolipin synthase, bacterial type ClsA",
Pseudomonas aeruginosa ,CDS,1066295,1067647,1353,+,450,,Putative monooxygenase PA5393,
Pseudomonas aeruginosa ,CDS,1067647,1068069,423,+,140,,"Uncharacterized protein PA5392, RidA/YER057c/UK114 superfamily",
Pseudomonas aeruginosa ,CDS,1068083,1068757,675,+,224,,"Protein of unknown function PA5391, DUF1028 family",
Pseudomonas aeruginosa ,CDS,1069898,1070908,1011,-,336,,Carnitine operon transcriptional regulator @ Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain,
Pseudomonas aeruginosa ,CDS,107003,108043,1041,-,346,,D-alanine--D-alanine ligase (EC 6.3.2.4),GO:0008716|D-alanine-D-alanine ligase activity
Pseudomonas aeruginosa ,CDS,1071119,1072057,939,+,312,,"L-carnitine ABC transporter, substrate-binding protein CaiX",
Pseudomonas aeruginosa ,CDS,1072130,1073014,885,+,294,,beta-keto acid cleavage protein,
Pseudomonas aeruginosa ,CDS,1073065,1074030,966,+,321,,Carnitine 3-dehydrogenase (EC 1.1.1.108),GO:0047728|carnitine 3-dehydrogenase activity
Pseudomonas aeruginosa ,CDS,1074081,1074560,480,+,159,,Carnitine utilization associated thioesterase,
Pseudomonas aeruginosa ,CDS,1074566,1075531,966,+,321,,Lipolytic enzyme,
Pseudomonas aeruginosa ,CDS,1075505,1076572,1068,-,355,,UPF0324 inner membrane protein YeiH,
Pseudomonas aeruginosa ,CDS,1076680,1077573,894,+,297,,"Transcriptional regulator YeiE, LysR family",
Pseudomonas aeruginosa ,CDS,1077649,1077825,177,-,58,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1077842,1078090,249,+,82,,Uncharacterized protein PA5381,
Pseudomonas aeruginosa ,CDS,1078137,1079240,1104,-,367,,Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain,
Pseudomonas aeruginosa ,CDS,1079660,1081036,1377,-,458,,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)",GO:0003941|L-serine ammonia-lyase activity
Pseudomonas aeruginosa ,CDS,1081076,1081243,168,+,55,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,108139,109194,1056,-,351,,Nitronate monooxygenase (EC 1.13.12.16),GO:0018580|nitronate monooxygenase activity
Pseudomonas aeruginosa ,CDS,1081500,1082438,939,+,312,,Choline binding ABC transport system substrate-binding protein ChoX,
Pseudomonas aeruginosa ,CDS,1082480,1083319,840,+,279,,Choline binding ABC transport system permease protein ChoW,
Pseudomonas aeruginosa ,CDS,1083323,1084501,1179,+,392,,Choline binding ABC transport system ATP-binding protein ChoV,
Pseudomonas aeruginosa ,CDS,1084719,1086323,1605,-,534,,High-affinity choline uptake protein BetT,
Pseudomonas aeruginosa ,CDS,1086602,1087195,594,+,197,,"Transcriptional regulator BetI, TetR family",
Pseudomonas aeruginosa ,CDS,1087256,1088728,1473,+,490,,Betaine aldehyde dehydrogenase (EC 1.2.1.8),GO:0008802|betaine-aldehyde dehydrogenase activity
Pseudomonas aeruginosa ,CDS,1088864,1090549,1686,+,561,,Choline dehydrogenase (EC 1.1.99.1),GO:0008812|choline dehydrogenase activity
Pseudomonas aeruginosa ,CDS,1090595,1090999,405,-,134,,cytosolic long-chain acyl-CoA thioester hydrolase family protein,
Pseudomonas aeruginosa ,CDS,1091287,1092603,1317,+,438,,L-Proline/Glycine betaine transporter ProP,
Pseudomonas aeruginosa ,CDS,109302,110156,855,+,284,,"Transcriptional regulator PA4203, LysR family",
Pseudomonas aeruginosa ,CDS,1098730,1099701,972,+,323,,"Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)",
Pseudomonas aeruginosa ,CDS,1099872,1102157,2286,+,761,,"Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)",
Pseudomonas aeruginosa ,CDS,1102177,1103853,1677,+,558,,"Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)",
Pseudomonas aeruginosa ,CDS,110236,111402,1167,+,388,,3-carboxymuconate cyclase,
Pseudomonas aeruginosa ,CDS,1103869,1104702,834,+,277,,"Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)",
Pseudomonas aeruginosa ,CDS,1104798,1105526,729,+,242,,Phosphate transport system regulatory protein PhoU,
Pseudomonas aeruginosa ,CDS,1105645,1106547,903,+,300,,Phosphate regulon transcriptional regulatory protein PhoB (SphR),
Pseudomonas aeruginosa ,CDS,1106663,1107562,900,+,299,,"Peptidase, M23/M37 family",
Pseudomonas aeruginosa ,CDS,1107597,1108937,1341,-,446,,Phosphate regulon metal ion transporter containing CBS domains,
Pseudomonas aeruginosa ,CDS,1109040,1110371,1332,-,443,,Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3),GO:0004673|protein histidine kinase activity
Pseudomonas aeruginosa ,CDS,1110444,1111133,690,-,229,,Phosphate regulon transcriptional regulatory protein PhoB (SphR),
Pseudomonas aeruginosa ,CDS,1111310,1111693,384,+,127,,Orf21; putative lipoprotein,
Pseudomonas aeruginosa ,CDS,1111717,1112607,891,-,296,,4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39),GO:0002083|4-hydroxybenzoate decaprenyltransferase activity;GO:0002083|4-hydroxybenzoate nonaprenyltransferase activity
Pseudomonas aeruginosa ,CDS,1112634,1113170,537,-,178,,Chorismate--pyruvate lyase (EC 4.1.3.40),GO:0008813|chorismate lyase activity
Pseudomonas aeruginosa ,CDS,1113250,1114005,756,-,251,,Glycolate utilization operon transcriptional activator GlcC,
Pseudomonas aeruginosa ,CDS,1114210,1115709,1500,+,499,,"Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD",GO:0019154|glycolate dehydrogenase activity
Pseudomonas aeruginosa ,CDS,1115709,1116788,1080,+,359,,"Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE",GO:0019154|glycolate dehydrogenase activity
Pseudomonas aeruginosa ,CDS,1116798,1118024,1227,+,408,,"Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF",GO:0019154|glycolate dehydrogenase activity
Pseudomonas aeruginosa ,CDS,1118029,1118430,402,+,133,,Hypothetical protein GlcG in glycolate utilization operon,
Pseudomonas aeruginosa ,CDS,1118564,1118731,168,+,55,,Rubredoxin,
Pseudomonas aeruginosa ,CDS,1118915,1119082,168,+,55,,Rubredoxin,
Pseudomonas aeruginosa ,CDS,1119134,1120288,1155,+,384,,Rubredoxin-NAD(+) reductase (EC 1.18.1.1),GO:0015044|rubredoxin-NAD+ reductase activity
Pseudomonas aeruginosa ,CDS,1120285,1120497,213,+,70,,FIG00959816: hypothetical protein,
Pseudomonas aeruginosa ,CDS,1120490,1120762,273,+,90,,DNA-binding protein HU,
Pseudomonas aeruginosa ,CDS,112053,112499,447,+,148,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1120898,1121290,393,+,130,,Superfamily II DNA and RNA helicases,
Pseudomonas aeruginosa ,CDS,1121362,1122771,1410,-,469,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1122861,1124936,2076,-,691,,ATP-dependent DNA helicase RecG (EC 3.6.4.12),
Pseudomonas aeruginosa ,CDS,1124933,1125865,933,-,310,,Hydrogen peroxide-inducible genes activator => OxyR,
Pseudomonas aeruginosa ,CDS,112507,113619,1113,+,370,,"Multidrug efflux system, membrane fusion component => MexH of MexHI-OpmD system",
Pseudomonas aeruginosa ,CDS,1125862,1126011,150,-,49,,FIG00955849: hypothetical protein,
Pseudomonas aeruginosa ,CDS,1126003,1126854,852,+,283,,Nucleoside-diphosphate-sugar epimerases,
Pseudomonas aeruginosa ,CDS,1126854,1127654,801,+,266,,"Transcriptional regulator, AraC family",
Pseudomonas aeruginosa ,CDS,1127721,1128341,621,+,206,,Threonine efflux protein,
Pseudomonas aeruginosa ,CDS,1128348,1129079,732,-,243,,putative lipoprotein,
Pseudomonas aeruginosa ,CDS,1129134,1129514,381,-,126,,RidA/YER057c/UK114 superfamily protein,
Pseudomonas aeruginosa ,CDS,1129576,1131681,2106,-,701,,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II","GO:0008893|guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity;GO:0008728|GTP diphosphokinase activity"
Pseudomonas aeruginosa ,CDS,1131747,1132013,267,-,88,,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6),GO:0003899|DNA-directed RNA polymerase activity
Pseudomonas aeruginosa ,CDS,1132102,1132713,612,-,203,,Guanylate kinase (EC 2.7.4.8),GO:0004385|guanylate kinase activity
Pseudomonas aeruginosa ,CDS,1132772,1133635,864,-,287,,UPF0701 protein YicC,
Pseudomonas aeruginosa ,CDS,1133816,1134535,720,+,239,,Ribonuclease PH (EC 2.7.7.56),GO:0009022|tRNA nucleotidyltransferase activity
Pseudomonas aeruginosa ,CDS,1134582,1134953,372,+,123,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1135012,1135791,780,-,259,,Exodeoxyribonuclease III (EC 3.1.11.2),GO:0008853|exodeoxyribonuclease III activity
Pseudomonas aeruginosa ,CDS,1135872,1136513,642,+,213,,Orotate phosphoribosyltransferase (EC 2.4.2.10),GO:0004588|orotate phosphoribosyltransferase activity
Pseudomonas aeruginosa ,CDS,113632,116721,3090,+,1029,,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexI of MexHI-OpmD system",
Pseudomonas aeruginosa ,CDS,1136534,1137151,618,+,205,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1137131,1137595,465,-,154,,4-hydroxybenzoyl-CoA thioesterase family active site,
Pseudomonas aeruginosa ,CDS,1137769,1138158,390,+,129,,Cytochrome c5,
Pseudomonas aeruginosa ,CDS,1138170,1139564,1395,+,464,,"Oxidoreductase, FAD-binding",
Pseudomonas aeruginosa ,CDS,1139578,1140855,1278,+,425,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1140926,1141876,951,-,316,,Protein involved in meta-pathway of phenol degradation,
Pseudomonas aeruginosa ,CDS,1142101,1143171,1071,+,356,,"Transcriptional regulator, AraC family",
Pseudomonas aeruginosa ,CDS,1143217,1144122,906,-,301,,N-acetylglutamate kinase (EC 2.7.2.8),GO:0003991|acetylglutamate kinase activity
Pseudomonas aeruginosa ,CDS,1144139,1146745,2607,-,868,,Phosphoglucomutase (EC 5.4.2.2) @ Phosphomannomutase (EC 5.4.2.8),GO:0004614|phosphoglucomutase activity;GO:0004615|phosphomannomutase activity
Pseudomonas aeruginosa ,CDS,1146782,1147237,456,-,151,,Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23),GO:0004170|dUTP diphosphatase activity
Pseudomonas aeruginosa ,CDS,1147245,1148453,1209,-,402,,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5),GO:0004633|phosphopantothenoylcysteine decarboxylase activity;GO:0004632|phosphopantothenate--cysteine ligase activity
Pseudomonas aeruginosa ,CDS,11480,12670,1191,-,396,,Uncharacterized MFS-type transporter,
Pseudomonas aeruginosa ,CDS,1148593,1149267,675,+,224,,UPF0758 family protein,
Pseudomonas aeruginosa ,CDS,1149284,1149832,549,-,182,,hypothetical protein,
Pseudomonas aeruginosa ,CDS,1149858,1151438,1581,-,526,,"ABC transporter, periplasmic substrate-binding protein PA5317",
Pseudomonas aeruginosa ,CDS,1151793,1152029,237,+,78,,"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent",
Pseudomonas aeruginosa ,CDS,1152041,1152196,156,+,51,,"LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent",
Pseudomonas aeruginosa ,CDS,1152330,1152692,363,-,120,,Predicted enzyme of the cupin superfamily,
Pseudomonas aeruginosa ,CDS,1152759,1154093,1335,-,444,,Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18),GO:0016223|beta-alanine-pyruvate transaminase activity
Pseudomonas aeruginosa ,CDS,1154191,1154316,126,-,41,,FIG00957896: hypothetical protein,
Pseudomonas aeruginosa ,CDS,1154323,1155816,1494,+,497,,Aldehyde dehydrogenase (EC 1.2.1.3),GO:0004029|aldehyde dehydrogenase (NAD) activity
Pseudomonas aeruginosa ,CDS,1155963,1157126,1164,+,387,,Uncharacterized MFS-type transporter,
Pseudomonas aeruginosa ,CDS,1157130,1158683,1554,-,517,,"Cardiolipin synthase (EC 2.7.8.-) phosphatidylethanolamine-utilizing, bacterial type ClsC",GO:0008808|cardiolipin synthase activity;GO:0008808|UDP-N-acetylglucosamine:serine-protein N-acetylglucosamine-1-phosphotransferase activity;GO:0008808|GDP-mannose:serine-protein mannose-1-phosphotransferase activity;GO:0008808|archaetidylserine synthase activity
Pseudomonas aeruginosa ,CDS,1158805,1160124,1320,-,439,,FAD-dependent oxidoreductase,
Pseudomonas aeruginosa ,CDS,1160301,1160789,489,-,162,,"Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system",
Pseudomonas aeruginosa ,CDS,1160943,1163510,2568,+,855,,Putative uncharacterized protein ydbH,
Pseudomonas aeruginosa ,CDS,1163531,1163722,192,+,63,,Uncharacterized protein YnbE,
Pseudomonas aeruginosa ,CDS,1163735,1164079,345,+,114,,"Putative uncharacterized protein ydbL, may be related to amine metabolism",
Pseudomonas aeruginosa ,CDS,1164436,1165734,1299,+,432,,D-amino acid dehydrogenase (EC 1.4.99.6),
